V_ID	V_Datum	V_Wochentag	V_Stunde	V_Station	V_Kartenart
25401	2019-02-01T00:02:42	4	0	1004	3
25402	2019-02-01T00:03:32	4	0	1002	2
25403	2019-02-01T00:03:33	4	0	1001	2
25404	2019-02-01T00:09:45	4	0	1001	4
25405	2019-02-01T00:10:26	4	0	1001	3
25406	2019-02-01T00:11:55	4	0	1004	1
25407	2019-02-01T00:16:49	4	0	1002	2
25408	2019-02-01T00:18:28	4	0	1001	1
25409	2019-02-01T00:22:21	4	0	1001	2
25410	2019-02-01T00:25:47	4	0	1001	3
25411	2019-02-01T00:26:48	4	0	1001	3
25412	2019-02-01T00:29:35	4	0	1004	2
25413	2019-02-01T00:42:02	4	0	1001	2
25414	2019-02-01T00:44:29	4	0	1004	4
25415	2019-02-01T00:47:15	4	0	1002	1
25416	2019-02-01T01:03:17	4	1	1001	2
25417	2019-02-01T01:05:05	4	1	1004	2
25418	2019-02-01T01:06:06	4	1	1001	2
25419	2019-02-01T01:13:38	4	1	1001	2
25420	2019-02-01T01:15:48	4	1	1001	2
25421	2019-02-01T01:16:39	4	1	1001	2
25422	2019-02-01T01:32:12	4	1	1002	1
25423	2019-02-01T01:33:03	4	1	1003	3
25424	2019-02-01T01:33:59	4	1	1004	3
25425	2019-02-01T01:45:13	4	1	1001	4
25426	2019-02-01T01:48:14	4	1	1002	1
25427	2019-02-01T01:48:53	4	1	1002	2
25428	2019-02-01T02:06:22	4	2	1004	4
25429	2019-02-01T02:06:28	4	2	1001	3
25430	2019-02-01T02:12:15	4	2	1004	3
25431	2019-02-01T02:12:20	4	2	1004	1
25432	2019-02-01T02:14:04	4	2	1004	1
25433	2019-02-01T02:14:49	4	2	1001	3
25434	2019-02-01T02:15:58	4	2	1002	3
25435	2019-02-01T02:16:57	4	2	1004	2
25436	2019-02-01T02:26:59	4	2	1001	2
25437	2019-02-01T02:27:42	4	2	1001	1
25438	2019-02-01T02:32:09	4	2	1004	1
25439	2019-02-01T02:32:11	4	2	1004	1
25440	2019-02-01T02:37:42	4	2	1004	1
25441	2019-02-01T02:47:53	4	2	1004	1
25442	2019-02-01T02:52:50	4	2	1004	2
25443	2019-02-01T02:54:59	4	2	1003	2
25444	2019-02-01T02:56:12	4	2	1002	3
25445	2019-02-01T02:58:08	4	2	1001	2
25446	2019-02-01T03:03:48	4	3	1004	4
25447	2019-02-01T03:04:36	4	3	1004	4
25448	2019-02-01T03:13:40	4	3	1001	2
25449	2019-02-01T03:18:27	4	3	1002	1
25450	2019-02-01T03:19:14	4	3	1001	2
25451	2019-02-01T03:19:55	4	3	1002	2
25452	2019-02-01T03:37:40	4	3	1002	3
25453	2019-02-01T03:41:25	4	3	1001	2
25454	2019-02-01T03:46:00	4	3	1003	4
25455	2019-02-01T03:47:06	4	3	1001	3
25456	2019-02-01T03:49:00	4	3	1001	1
25457	2019-02-01T03:59:31	4	3	1001	3
25458	2019-02-01T04:02:13	4	4	1001	1
25459	2019-02-01T04:02:17	4	4	1002	4
25460	2019-02-01T04:16:48	4	4	1004	4
25461	2019-02-01T04:23:55	4	4	1001	3
25462	2019-02-01T04:25:19	4	4	1002	2
25463	2019-02-01T04:26:56	4	4	1001	2
25464	2019-02-01T04:29:27	4	4	1001	3
25465	2019-02-01T04:37:12	4	4	1001	1
25466	2019-02-01T04:40:59	4	4	1002	2
25467	2019-02-01T04:41:15	4	4	1001	1
25468	2019-02-01T04:45:30	4	4	1002	3
25469	2019-02-01T04:50:33	4	4	1001	4
25470	2019-02-01T04:54:43	4	4	1004	4
25471	2019-02-01T05:09:52	4	5	1001	2
25472	2019-02-01T05:13:21	4	5	1001	4
25473	2019-02-01T05:20:54	4	5	1004	2
25474	2019-02-01T05:24:30	4	5	1001	1
25475	2019-02-01T05:28:26	4	5	1004	4
25476	2019-02-01T05:33:57	4	5	1002	3
25477	2019-02-01T05:36:45	4	5	1002	1
25478	2019-02-01T05:40:28	4	5	1001	2
25479	2019-02-01T05:41:20	4	5	1004	3
25480	2019-02-01T05:45:19	4	5	1004	3
25481	2019-02-01T05:48:04	4	5	1004	1
25482	2019-02-01T05:48:42	4	5	1001	1
25483	2019-02-01T05:53:13	4	5	1001	2
25484	2019-02-01T05:53:22	4	5	1004	2
25485	2019-02-01T05:55:17	4	5	1001	3
25486	2019-02-01T05:57:26	4	5	1002	1
25487	2019-02-01T06:00:13	4	6	1001	1
25488	2019-02-01T06:07:56	4	6	1002	4
25489	2019-02-01T06:09:10	4	6	1001	3
25490	2019-02-01T06:17:45	4	6	1004	2
25491	2019-02-01T06:17:51	4	6	1004	2
25492	2019-02-01T06:20:14	4	6	1004	4
25493	2019-02-01T06:28:46	4	6	1001	3
25494	2019-02-01T06:29:28	4	6	1002	2
25495	2019-02-01T06:30:48	4	6	1001	3
25496	2019-02-01T06:32:25	4	6	1001	3
25497	2019-02-01T06:34:27	4	6	1001	1
25498	2019-02-01T06:35:18	4	6	1004	1
25499	2019-02-01T06:35:46	4	6	1004	3
25500	2019-02-01T06:35:56	4	6	1001	3
25501	2019-02-01T06:39:23	4	6	1002	4
25502	2019-02-01T06:41:36	4	6	1002	2
25503	2019-02-01T06:47:34	4	6	1001	1
25504	2019-02-01T06:47:53	4	6	1001	1
25505	2019-02-01T06:50:12	4	6	1001	2
25506	2019-02-01T06:55:13	4	6	1001	1
25507	2019-02-01T06:56:56	4	6	1001	3
25508	2019-02-01T06:59:20	4	6	1001	2
25509	2019-02-01T07:01:56	4	7	1001	1
25510	2019-02-01T07:02:02	4	7	1001	2
25511	2019-02-01T07:03:30	4	7	1002	3
25512	2019-02-01T07:07:19	4	7	1001	4
25513	2019-02-01T07:07:48	4	7	1004	2
25514	2019-02-01T07:08:06	4	7	1002	1
25515	2019-02-01T07:09:56	4	7	1002	2
25516	2019-02-01T07:10:28	4	7	1001	1
25517	2019-02-01T07:11:50	4	7	1001	1
25518	2019-02-01T07:11:53	4	7	1004	1
25519	2019-02-01T07:12:12	4	7	1001	2
25520	2019-02-01T07:12:18	4	7	1003	3
25521	2019-02-01T07:12:28	4	7	1002	4
25522	2019-02-01T07:12:44	4	7	1001	1
25523	2019-02-01T07:14:23	4	7	1001	2
25524	2019-02-01T07:14:50	4	7	1001	1
25525	2019-02-01T07:14:53	4	7	1001	2
25526	2019-02-01T07:16:01	4	7	1001	2
25527	2019-02-01T07:16:08	4	7	1001	2
25528	2019-02-01T07:16:26	4	7	1002	3
25529	2019-02-01T07:16:40	4	7	1002	2
25530	2019-02-01T07:17:20	4	7	1002	1
25531	2019-02-01T07:17:43	4	7	1003	2
25532	2019-02-01T07:17:49	4	7	1001	4
25533	2019-02-01T07:18:56	4	7	1004	3
25534	2019-02-01T07:19:08	4	7	1002	3
25535	2019-02-01T07:20:19	4	7	1001	2
25536	2019-02-01T07:22:08	4	7	1001	2
25537	2019-02-01T07:23:23	4	7	1001	4
25538	2019-02-01T07:23:42	4	7	1001	1
25539	2019-02-01T07:24:52	4	7	1003	1
25540	2019-02-01T07:26:42	4	7	1002	2
25541	2019-02-01T07:27:15	4	7	1001	3
25542	2019-02-01T07:27:17	4	7	1003	2
25543	2019-02-01T07:27:37	4	7	1001	3
25544	2019-02-01T07:29:13	4	7	1001	2
25545	2019-02-01T07:30:29	4	7	1001	1
25546	2019-02-01T07:30:55	4	7	1002	1
25547	2019-02-01T07:31:31	4	7	1004	1
25548	2019-02-01T07:32:04	4	7	1001	3
25549	2019-02-01T07:32:43	4	7	1001	3
25550	2019-02-01T07:33:32	4	7	1002	2
25551	2019-02-01T07:34:19	4	7	1004	1
25552	2019-02-01T07:36:11	4	7	1001	2
25553	2019-02-01T07:37:53	4	7	1002	2
25554	2019-02-01T07:37:59	4	7	1001	1
25555	2019-02-01T07:38:11	4	7	1001	3
25556	2019-02-01T07:39:57	4	7	1001	4
25557	2019-02-01T07:40:09	4	7	1001	3
25558	2019-02-01T07:41:53	4	7	1002	2
25559	2019-02-01T07:43:04	4	7	1001	1
25560	2019-02-01T07:44:25	4	7	1004	1
25561	2019-02-01T07:44:41	4	7	1001	2
25562	2019-02-01T07:45:46	4	7	1001	2
25563	2019-02-01T07:46:16	4	7	1002	1
25564	2019-02-01T07:46:21	4	7	1002	2
25565	2019-02-01T07:46:33	4	7	1001	2
25566	2019-02-01T07:47:31	4	7	1001	4
25567	2019-02-01T07:47:44	4	7	1001	1
25568	2019-02-01T07:47:53	4	7	1001	2
25569	2019-02-01T07:48:26	4	7	1004	1
