V_ID	V_Datum	V_Wochentag	V_Stunde	V_Station	V_Kartenart
39184	2019-03-01T00:00:58	4	0	1001	4
39185	2019-03-01T00:01:16	4	0	1004	2
39186	2019-03-01T00:06:52	4	0	1002	2
39187	2019-03-01T00:14:25	4	0	1003	1
39188	2019-03-01T00:22:50	4	0	1004	1
39189	2019-03-01T00:25:55	4	0	1001	3
39190	2019-03-01T00:26:10	4	0	1004	2
39191	2019-03-01T00:27:51	4	0	1004	3
39192	2019-03-01T00:28:56	4	0	1002	3
39193	2019-03-01T00:32:40	4	0	1002	4
39194	2019-03-01T00:35:03	4	0	1004	3
39195	2019-03-01T00:35:51	4	0	1001	2
39196	2019-03-01T00:41:28	4	0	1002	2
39197	2019-03-01T00:44:15	4	0	1004	2
39198	2019-03-01T01:00:57	4	1	1001	2
39199	2019-03-01T01:00:57	4	1	1004	1
39200	2019-03-01T01:02:56	4	1	1002	4
39201	2019-03-01T01:13:51	4	1	1002	2
39202	2019-03-01T01:24:32	4	1	1004	2
39203	2019-03-01T01:24:53	4	1	1002	1
39204	2019-03-01T01:26:18	4	1	1002	4
39205	2019-03-01T01:36:34	4	1	1001	2
39206	2019-03-01T01:37:52	4	1	1001	1
39207	2019-03-01T01:45:35	4	1	1004	4
39208	2019-03-01T01:56:54	4	1	1004	2
39209	2019-03-01T01:57:52	4	1	1004	4
39210	2019-03-01T01:59:42	4	1	1001	2
39211	2019-03-01T02:08:27	4	2	1001	3
39212	2019-03-01T02:08:59	4	2	1001	3
39213	2019-03-01T02:10:10	4	2	1004	2
39214	2019-03-01T02:17:01	4	2	1004	2
39215	2019-03-01T02:20:42	4	2	1004	3
39216	2019-03-01T02:23:19	4	2	1004	2
39217	2019-03-01T02:29:08	4	2	1003	1
39218	2019-03-01T02:40:36	4	2	1001	1
39219	2019-03-01T02:41:42	4	2	1001	1
39220	2019-03-01T02:47:29	4	2	1001	1
39221	2019-03-01T02:48:06	4	2	1001	4
39222	2019-03-01T02:58:01	4	2	1001	3
39223	2019-03-01T02:58:48	4	2	1001	2
39224	2019-03-01T03:14:31	4	3	1001	2
39225	2019-03-01T03:15:39	4	3	1002	4
39226	2019-03-01T03:25:03	4	3	1002	2
39227	2019-03-01T03:27:44	4	3	1002	2
39228	2019-03-01T03:27:51	4	3	1001	4
39229	2019-03-01T03:29:37	4	3	1002	1
39230	2019-03-01T03:35:51	4	3	1001	2
39231	2019-03-01T03:36:15	4	3	1004	2
39232	2019-03-01T03:36:35	4	3	1001	1
39233	2019-03-01T03:41:30	4	3	1001	1
39234	2019-03-01T03:45:10	4	3	1001	3
39235	2019-03-01T03:48:28	4	3	1001	1
39236	2019-03-01T03:54:41	4	3	1001	4
39237	2019-03-01T03:55:52	4	3	1004	2
39238	2019-03-01T04:02:30	4	4	1002	2
39239	2019-03-01T04:06:22	4	4	1001	2
39240	2019-03-01T04:16:41	4	4	1001	2
