ID	DATUM	TAG	STUNDE	STATION	KARTENART
1001	2020-01-05T18:06:14	7	18	1001	1003
1004	2019-10-08T18:26:46	2	18	1001	1002
1007	2019-10-21T12:54:22	1	12	1003	1002
1010	2019-04-22T20:00:38	1	20	1000	1002
1013	2019-09-02T12:20:07	1	12	1000	1000
1016	2019-02-11T08:21:38	1	8	1000	1000
1019	2019-11-08T08:23:26	5	8	1000	1000
1022	2019-01-10T05:00:50	4	5	1001	1000
1025	2019-11-15T08:20:44	5	8	1000	1000
1028	2019-07-26T07:09:22	5	7	1003	1002
1031	2019-10-21T11:23:49	1	11	1003	1000
1034	2019-10-11T09:33:13	5	9	1000	1001
1037	2019-07-15T07:46:39	1	7	1000	1000
1040	2019-12-18T10:10:46	3	10	1000	1000
1043	2019-01-05T12:21:37	6	12	1003	1000
1046	2019-07-26T23:08:35	5	23	1000	1003
1049	2019-05-10T16:24:49	5	16	1000	1000
1052	2019-01-25T08:02:24	5	8	1001	1000
1055	2019-05-14T08:58:09	2	8	1001	1002
1058	2019-09-03T09:24:42	2	9	1001	1001
1061	2019-08-09T19:22:37	5	19	1000	1001
1064	2019-02-15T17:48:13	5	17	1000	1003
1067	2019-06-07T20:54:22	5	20	1000	1003
1070	2019-02-25T06:39:24	1	6	1000	1000
1073	2019-05-09T13:23:00	4	13	1000	1003
1076	2019-05-23T06:18:59	4	6	1000	1000
1079	2019-08-27T04:07:47	2	4	1000	1000
1082	2019-12-18T06:51:55	3	6	1000	1001
1085	2019-11-13T07:43:01	3	7	1000	1001
1088	2019-02-28T07:07:31	4	7	1001	1000
1091	2019-01-28T08:27:47	1	8	1003	1001
1094	2019-06-04T02:25:17	2	2	1003	1001
1097	2019-04-09T19:49:29	2	19	1003	1000
1100	2019-10-24T05:23:42	4	5	1003	1000
1103	2019-11-19T07:51:35	2	7	1003	1000
1106	2019-12-31T15:07:07	2	15	1000	1000
1109	2019-11-21T09:15:53	4	9	1003	1001
1112	2019-08-08T10:26:00	4	10	1001	1001
1115	2019-12-30T14:06:17	1	14	1000	1001
1118	2019-12-17T22:44:40	2	22	1000	1000
1121	2019-08-21T05:00:36	3	5	1001	1001
1124	2019-02-01T18:04:23	5	18	1003	1001
1127	2019-01-25T03:31:42	5	3	1003	1000
1130	2019-12-27T22:55:30	5	22	1001	1000
1133	2019-10-18T07:12:11	5	7	1003	1002
1136	2019-08-27T19:25:48	2	19	1001	1000
1139	2019-05-17T07:54:58	5	7	1000	1000
1142	2019-03-15T23:12:54	5	23	1000	1000
1145	2019-01-25T08:05:57	5	8	1001	1000
1148	2019-07-17T09:13:29	3	9	1000	1001
1151	2019-05-14T00:55:38	2	0	1002	1000
1154	2019-07-19T17:03:15	5	17	1003	1000
1157	2019-04-06T19:21:36	6	19	1002	1001
1160	2019-01-26T09:45:38	6	9	1003	1002
1163	2019-11-05T11:19:42	2	11	1003	1001
1166	2019-04-25T04:03:33	4	4	1000	1001
1169	2019-11-27T07:57:25	3	7	1003	1000
1172	2019-10-25T01:11:22	5	1	1001	1000
1175	2019-07-15T23:31:09	1	23	1000	1002
1178	2019-08-20T09:34:56	2	9	1001	1000
1181	2019-09-29T12:38:28	7	12	1001	1000
1184	2019-03-27T09:14:33	3	9	1000	1001
1187	2019-05-10T20:18:19	5	20	1001	1001
1190	2019-04-12T12:42:00	5	12	1001	1000
1193	2019-05-20T17:11:44	1	17	1001	1000
1196	2019-05-20T09:25:30	1	9	1000	1001
1199	2019-12-09T14:19:10	1	14	1000	1001
1202	2019-01-22T08:16:17	2	8	1000	1000
1205	2019-05-27T10:26:08	1	10	1001	1003
1208	2019-10-03T07:54:19	4	7	1001	1001
1211	2019-09-17T19:27:59	2	19	1000	1000
1214	2019-08-13T17:18:57	2	17	1000	1002
1217	2019-11-12T07:43:02	2	7	1000	1000
1220	2019-03-18T07:41:15	1	7	1001	1001
1223	2019-01-14T05:37:46	1	5	1003	1002
1226	2019-09-10T05:01:07	2	5	1002	1000
1229	2019-01-15T10:53:31	2	10	1000	1000
1232	2019-11-12T12:42:36	2	12	1000	1001
1235	2019-04-26T09:01:01	5	9	1000	1001
1238	2019-09-02T05:40:47	1	5	1000	1000
1241	2019-02-01T14:18:34	5	14	1001	1000
1244	2019-02-04T18:07:40	1	18	1001	1000
1247	2019-03-06T19:56:49	3	19	1000	1000
1250	2019-09-09T06:37:27	1	6	1000	1003
1253	2019-07-05T08:40:47	5	8	1003	1000
1256	2019-02-22T18:37:57	5	18	1000	1003
1259	2019-05-21T13:32:17	2	13	1002	1002
1262	2019-12-10T18:51:32	2	18	1003	1000
1265	2019-05-24T10:33:00	5	10	1001	1001
1268	2019-01-16T04:11:09	3	4	1003	1000
1271	2019-09-30T04:33:45	1	4	1002	1002
1274	2018-12-31T03:52:02	1	3	1003	1001
1277	2019-12-23T22:18:02	1	22	1000	1002
1280	2019-06-13T05:18:57	4	5	1000	1000
1283	2019-09-20T06:22:29	5	6	1001	1002
1286	2019-06-03T08:23:44	1	8	1001	1000
1289	2019-10-17T10:52:37	4	10	1002	1000
1292	2019-12-02T19:20:10	1	19	1000	1000
1295	2019-04-30T10:25:14	2	10	1002	1000
1298	2019-01-01T06:55:06	2	6	1002	1001
1301	2019-06-27T07:05:29	4	7	1000	1001
1304	2019-06-04T03:21:38	2	3	1001	1002
1307	2019-07-16T19:54:10	2	19	1000	1000
1310	2019-04-28T20:47:05	7	20	1001	1001
1313	2019-04-22T08:53:17	1	8	1001	1000
1316	2019-05-22T17:53:29	3	17	1003	1002
1319	2019-06-03T02:47:23	1	2	1000	1002
1322	2019-10-08T09:47:17	2	9	1000	1001
1325	2019-11-30T07:30:43	6	7	1001	1002
1328	2019-01-09T11:47:48	3	11	1000	1000
1331	2019-06-10T06:12:11	1	6	1002	1000
1334	2019-06-27T07:44:13	4	7	1001	1001
1337	2019-02-12T17:39:32	2	17	1000	1001
1340	2019-10-31T05:24:04	4	5	1001	1001
1343	2019-02-26T05:30:53	2	5	1000	1001
1346	2019-11-08T07:13:16	5	7	1001	1000
1349	2019-09-25T20:14:04	3	20	1002	1002
1352	2019-12-23T05:42:32	1	5	1000	1000
1355	2019-06-21T07:46:17	5	7	1002	1000
1358	2019-04-17T19:22:58	3	19	1001	1001
1361	2019-07-29T03:10:53	1	3	1003	1000
1364	2019-12-19T19:04:37	4	19	1000	1000
1367	2019-02-14T08:54:57	4	8	1001	1000
1370	2019-12-06T07:04:52	5	7	1001	1001
1373	2019-09-06T09:25:15	5	9	1000	1001
1376	2018-12-31T05:14:39	1	5	1003	1001
1379	2019-04-12T10:49:16	5	10	1000	1002
1382	2019-10-04T19:53:59	5	19	1000	1000
1385	2019-07-25T09:53:37	4	9	1000	1000
1388	2019-11-25T06:03:12	1	6	1001	1000
1391	2019-07-29T07:33:59	1	7	1000	1002
1394	2019-11-19T09:01:19	2	9	1000	1001
1397	2019-03-25T05:40:25	1	5	1000	1001
1400	2020-01-05T09:47:08	7	9	1000	1000
1403	2019-11-01T06:25:47	5	6	1003	1000
1406	2019-12-02T08:34:57	1	8	1003	1000
1409	2019-04-30T11:15:15	2	11	1000	1003
1412	2019-05-18T07:55:29	6	7	1001	1000
