Datum;BundeslandID;Name;Testungen;TestungenPCR;TestungenAntigen
2021-03-01T09:30:00+01:00;1;Burgenland;638575;155435;483140
2021-03-01T09:30:00+01:00;2;Kärnten;675557;217933;457624
2021-03-01T09:30:00+01:00;3;Niederösterreich;3400756;1141984;2258772
2021-03-01T09:30:00+01:00;4;Oberösterreich;2162517;546777;1615740
2021-03-01T09:30:00+01:00;5;Salzburg;823353;274598;548755
2021-03-01T09:30:00+01:00;6;Steiermark;1758065;503274;1254791
2021-03-01T09:30:00+01:00;7;Tirol;1521757;579890;941867
2021-03-01T09:30:00+01:00;8;Vorarlberg;825612;298572;527040
2021-03-01T09:30:00+01:00;9;Wien;3197153;1677203;1519950
2021-03-01T09:30:00+01:00;10;Österreich;15003345;5395666;9607679
2021-03-02T09:30:00+01:00;1;Burgenland;645941;155933;490008
2021-03-02T09:30:00+01:00;2;Kärnten;704089;219190;484899
2021-03-02T09:30:00+01:00;3;Niederösterreich;3471229;1147138;2324091
2021-03-02T09:30:00+01:00;4;Oberösterreich;2241062;548394;1692668
2021-03-02T09:30:00+01:00;5;Salzburg;847370;275923;571447
2021-03-02T09:30:00+01:00;6;Steiermark;1801508;505525;1295983
2021-03-02T09:30:00+01:00;7;Tirol;1539898;583765;956133
2021-03-02T09:30:00+01:00;8;Vorarlberg;842170;299159;543011
2021-03-02T09:30:00+01:00;9;Wien;3264872;1721257;1543615
2021-03-02T09:30:00+01:00;10;Österreich;15358139;5456284;9901855
2021-03-03T09:30:00+01:00;1;Burgenland;656824;156596;500228
2021-03-03T09:30:00+01:00;2;Kärnten;708065;220503;487562
2021-03-03T09:30:00+01:00;3;Niederösterreich;3525810;1153997;2371813
2021-03-03T09:30:00+01:00;4;Oberösterreich;2276421;550375;1726046
2021-03-03T09:30:00+01:00;5;Salzburg;859248;277381;581867
2021-03-03T09:30:00+01:00;6;Steiermark;1852502;508297;1344205
2021-03-03T09:30:00+01:00;7;Tirol;1552380;588092;964288
2021-03-03T09:30:00+01:00;8;Vorarlberg;855489;300574;554915
2021-03-03T09:30:00+01:00;9;Wien;3316131;1751657;1564474
2021-03-03T09:30:00+01:00;10;Österreich;15602870;5507472;10095398
2021-03-04T09:30:00+01:00;1;Burgenland;665306;157400;507906
2021-03-04T09:30:00+01:00;2;Kärnten;709254;221614;487640
2021-03-04T09:30:00+01:00;3;Niederösterreich;3580743;1164883;2415860
2021-03-04T09:30:00+01:00;4;Oberösterreich;2332134;552588;1779546
2021-03-04T09:30:00+01:00;5;Salzburg;871522;278819;592703
2021-03-04T09:30:00+01:00;6;Steiermark;1899187;509514;1389673
2021-03-04T09:30:00+01:00;7;Tirol;1569811;591254;978557
2021-03-04T09:30:00+01:00;8;Vorarlberg;868793;301846;566947
2021-03-04T09:30:00+01:00;9;Wien;3367370;1779673;1587697
2021-03-04T09:30:00+01:00;10;Österreich;15864120;5557591;10306529
2021-03-05T09:30:00+01:00;1;Burgenland;677110;158537;518573
2021-03-05T09:30:00+01:00;2;Kärnten;710375;222676;487699
2021-03-05T09:30:00+01:00;3;Niederösterreich;3631722;1175337;2456385
2021-03-05T09:30:00+01:00;4;Oberösterreich;2368282;554878;1813404
2021-03-05T09:30:00+01:00;5;Salzburg;914767;280410;634357
2021-03-05T09:30:00+01:00;6;Steiermark;1929023;512435;1416588
2021-03-05T09:30:00+01:00;7;Tirol;1587729;594508;993221
2021-03-05T09:30:00+01:00;8;Vorarlberg;882629;302984;579645
2021-03-05T09:30:00+01:00;9;Wien;3421978;1808879;1613099
2021-03-05T09:30:00+01:00;10;Österreich;16123615;5610644;10512971
2021-03-06T09:30:00+01:00;1;Burgenland;692887;159511;533376
2021-03-06T09:30:00+01:00;2;Kärnten;711306;223558;487748
2021-03-06T09:30:00+01:00;3;Niederösterreich;3693241;1186373;2506868
2021-03-06T09:30:00+01:00;4;Oberösterreich;2407310;556843;1850467
2021-03-06T09:30:00+01:00;5;Salzburg;931315;281493;649822
2021-03-06T09:30:00+01:00;6;Steiermark;1966099;517914;1448185
2021-03-06T09:30:00+01:00;7;Tirol;1604167;597648;1006519
2021-03-06T09:30:00+01:00;8;Vorarlberg;896689;304480;592209
2021-03-06T09:30:00+01:00;9;Wien;3471274;1829876;1641398
2021-03-06T09:30:00+01:00;10;Österreich;16374288;5657696;10716592
2021-03-07T09:30:00+01:00;1;Burgenland;694733;160380;534353
2021-03-07T09:30:00+01:00;2;Kärnten;711909;224122;487787
2021-03-07T09:30:00+01:00;3;Niederösterreich;3738592;1195621;2542971
2021-03-07T09:30:00+01:00;4;Oberösterreich;2428659;558448;1870211
2021-03-07T09:30:00+01:00;5;Salzburg;939879;282427;657452
2021-03-07T09:30:00+01:00;6;Steiermark;1993544;520159;1473385
2021-03-07T09:30:00+01:00;7;Tirol;1619308;599943;1019365
2021-03-07T09:30:00+01:00;8;Vorarlberg;904537;305649;598888
2021-03-07T09:30:00+01:00;9;Wien;3501971;1836430;1665541
2021-03-07T09:30:00+01:00;10;Österreich;16533132;5683179;10849953
2021-03-08T09:30:00+01:00;1;Burgenland;705722;160835;544887
2021-03-08T09:30:00+01:00;2;Kärnten;713785;225967;487818
2021-03-08T09:30:00+01:00;3;Niederösterreich;3765805;1203769;2562036
2021-03-08T09:30:00+01:00;4;Oberösterreich;2452634;560051;1892583
2021-03-08T09:30:00+01:00;5;Salzburg;947009;283512;663497
2021-03-08T09:30:00+01:00;6;Steiermark;1996501;523116;1473385
2021-03-08T09:30:00+01:00;7;Tirol;1633325;602260;1031065
2021-03-08T09:30:00+01:00;8;Vorarlberg;911122;306153;604969
2021-03-08T09:30:00+01:00;9;Wien;3529309;1842699;1686610
2021-03-08T09:30:00+01:00;10;Österreich;16655212;5708362;10946850
2021-03-09T09:30:00+01:00;1;Burgenland;716398;161608;554790
2021-03-09T09:30:00+01:00;2;Kärnten;763750;227722;536028
2021-03-09T09:30:00+01:00;3;Niederösterreich;3824765;1209202;2615563
2021-03-09T09:30:00+01:00;4;Oberösterreich;2517626;562396;1955230
2021-03-09T09:30:00+01:00;5;Salzburg;982741;284782;697959
2021-03-09T09:30:00+01:00;6;Steiermark;2066437;526879;1539558
2021-03-09T09:30:00+01:00;7;Tirol;1645194;605377;1039817
2021-03-09T09:30:00+01:00;8;Vorarlberg;926254;306739;619515
2021-03-09T09:30:00+01:00;9;Wien;3607954;1893903;1714051
2021-03-09T09:30:00+01:00;10;Österreich;17051119;5778608;11272511
2021-03-10T09:30:00+01:00;1;Burgenland;725692;162864;562828
2021-03-10T09:30:00+01:00;2;Kärnten;780153;228854;551299
2021-03-10T09:30:00+01:00;3;Niederösterreich;3885068;1214172;2670896
2021-03-10T09:30:00+01:00;4;Oberösterreich;2560979;564876;1996103
2021-03-10T09:30:00+01:00;5;Salzburg;1001876;286638;715238
2021-03-10T09:30:00+01:00;6;Steiermark;2117895;529564;1588331
2021-03-10T09:30:00+01:00;7;Tirol;1656543;608527;1048016
2021-03-10T09:30:00+01:00;8;Vorarlberg;940650;308199;632451
2021-03-10T09:30:00+01:00;9;Wien;3660447;1924329;1736118
2021-03-10T09:30:00+01:00;10;Österreich;17329303;5828023;11501280
2021-03-11T09:30:00+01:00;1;Burgenland;735955;163979;571976
2021-03-11T09:30:00+01:00;2;Kärnten;780828;229447;551381
2021-03-11T09:30:00+01:00;3;Niederösterreich;3930268;1226953;2703315
2021-03-11T09:30:00+01:00;4;Oberösterreich;2617695;567105;2050590
2021-03-11T09:30:00+01:00;5;Salzburg;1023271;288373;734898
2021-03-11T09:30:00+01:00;6;Steiermark;2145853;532499;1613354
2021-03-11T09:30:00+01:00;7;Tirol;1669705;612427;1057278
2021-03-11T09:30:00+01:00;8;Vorarlberg;953849;309421;644428
2021-03-11T09:30:00+01:00;9;Wien;3691533;1948622;1742911
2021-03-11T09:30:00+01:00;10;Österreich;17548957;5878826;11670131
2021-03-12T09:30:00+01:00;1;Burgenland;745729;164996;580733
2021-03-12T09:30:00+01:00;2;Kärnten;782016;230545;551471
2021-03-12T09:30:00+01:00;3;Niederösterreich;4004202;1237497;2766705
2021-03-12T09:30:00+01:00;4;Oberösterreich;2658827;569777;2089050
2021-03-12T09:30:00+01:00;5;Salzburg;1042456;289875;752581
2021-03-12T09:30:00+01:00;6;Steiermark;2174570;533535;1641035
2021-03-12T09:30:00+01:00;7;Tirol;1762040;616766;1145274
2021-03-12T09:30:00+01:00;8;Vorarlberg;968333;310843;657490
2021-03-12T09:30:00+01:00;9;Wien;3768674;1982707;1785967
2021-03-12T09:30:00+01:00;10;Österreich;17906847;5936541;11970306
2021-03-13T09:30:00+01:00;1;Burgenland;765111;165863;599248
2021-03-13T09:30:00+01:00;2;Kärnten;783011;231450;551561
2021-03-13T09:30:00+01:00;3;Niederösterreich;4079284;1250051;2829233
2021-03-13T09:30:00+01:00;4;Oberösterreich;2699892;572111;2127781
2021-03-13T09:30:00+01:00;5;Salzburg;1065238;291240;773998
2021-03-13T09:30:00+01:00;6;Steiermark;2215308;539493;1675815
2021-03-13T09:30:00+01:00;7;Tirol;1780612;620933;1159679
2021-03-13T09:30:00+01:00;8;Vorarlberg;982335;312309;670026
2021-03-13T09:30:00+01:00;9;Wien;3807817;1994653;1813164
2021-03-13T09:30:00+01:00;10;Österreich;18178608;5978103;12200505
2021-03-14T09:30:00+01:00;1;Burgenland;772126;166899;605227
2021-03-14T09:30:00+01:00;2;Kärnten;783426;231848;551578
2021-03-14T09:30:00+01:00;3;Niederösterreich;4130698;1259580;2871118
2021-03-14T09:30:00+01:00;4;Oberösterreich;2722516;574282;2148234
2021-03-14T09:30:00+01:00;5;Salzburg;1075448;292294;783154
2021-03-14T09:30:00+01:00;6;Steiermark;2243171;541719;1701452
2021-03-14T09:30:00+01:00;7;Tirol;1794959;624658;1170301
2021-03-14T09:30:00+01:00;8;Vorarlberg;990424;313553;676871
2021-03-14T09:30:00+01:00;9;Wien;3833275;1999834;1833441
2021-03-14T09:30:00+01:00;10;Österreich;18346043;6004667;12341376
2021-03-15T09:30:00+01:00;1;Burgenland;778154;167469;610685
2021-03-15T09:30:00+01:00;2;Kärnten;785396;233795;551601
2021-03-15T09:30:00+01:00;3;Niederösterreich;4167187;1267556;2899631
2021-03-15T09:30:00+01:00;4;Oberösterreich;2749652;576547;2173105
2021-03-15T09:30:00+01:00;5;Salzburg;1077012;293760;783252
2021-03-15T09:30:00+01:00;6;Steiermark;2247450;545998;1701452
2021-03-15T09:30:00+01:00;7;Tirol;1811508;629138;1182370
2021-03-15T09:30:00+01:00;8;Vorarlberg;998950;314260;684690
2021-03-15T09:30:00+01:00;9;Wien;3869837;2005304;1864533
2021-03-15T09:30:00+01:00;10;Österreich;18485146;6033827;12451319
2021-03-16T09:30:00+01:00;1;Burgenland;790271;168495;621776
2021-03-16T09:30:00+01:00;2;Kärnten;786786;235099;551687
2021-03-16T09:30:00+01:00;3;Niederösterreich;4239419;1273437;2965982
2021-03-16T09:30:00+01:00;4;Oberösterreich;2819376;578865;2240511
2021-03-16T09:30:00+01:00;5;Salzburg;1102571;295314;807257
2021-03-16T09:30:00+01:00;6;Steiermark;2345419;549514;1795905
2021-03-16T09:30:00+01:00;7;Tirol;1826809;634117;1192692
2021-03-16T09:30:00+01:00;8;Vorarlberg;1015789;314912;700877
2021-03-16T09:30:00+01:00;9;Wien;3914427;2023848;1890579
2021-03-16T09:30:00+01:00;10;Österreich;18840867;6073601;12767266
2021-03-17T09:30:00+01:00;1;Burgenland;799358;169159;630199
2021-03-17T09:30:00+01:00;2;Kärnten;870998;236238;634760
2021-03-17T09:30:00+01:00;3;Niederösterreich;4307909;1280082;3027827
2021-03-17T09:30:00+01:00;4;Oberösterreich;2851427;580588;2270839
2021-03-17T09:30:00+01:00;5;Salzburg;1122193;297447;824746
2021-03-17T09:30:00+01:00;6;Steiermark;2396525;551159;1845366
2021-03-17T09:30:00+01:00;7;Tirol;1937323;640101;1297222
2021-03-17T09:30:00+01:00;8;Vorarlberg;1033799;316342;717457
2021-03-17T09:30:00+01:00;9;Wien;3957995;2045013;1912982
2021-03-17T09:30:00+01:00;10;Österreich;19277527;6116129;13161398
2021-03-18T09:30:00+01:00;1;Burgenland;809593;170019;639574
2021-03-18T09:30:00+01:00;2;Kärnten;871799;237039;634760
2021-03-18T09:30:00+01:00;3;Niederösterreich;4377441;1289028;3088413
2021-03-18T09:30:00+01:00;4;Oberösterreich;2927953;583231;2344722
2021-03-18T09:30:00+01:00;5;Salzburg;1142497;299314;843183
2021-03-18T09:30:00+01:00;6;Steiermark;2426106;553683;1872423
2021-03-18T09:30:00+01:00;7;Tirol;1953024;644858;1308166
2021-03-18T09:30:00+01:00;8;Vorarlberg;1064740;331334;733406
2021-03-18T09:30:00+01:00;9;Wien;4002957;2064415;1938542
2021-03-18T09:30:00+01:00;10;Österreich;19576110;6172921;13403189
2021-03-19T09:30:00+01:00;1;Burgenland;823041;170684;652357
2021-03-19T09:30:00+01:00;2;Kärnten;872716;237799;634917
2021-03-19T09:30:00+01:00;3;Niederösterreich;4452446;1303447;3148999
2021-03-19T09:30:00+01:00;4;Oberösterreich;2958465;586089;2372376
2021-03-19T09:30:00+01:00;5;Salzburg;1161332;300917;860415
2021-03-19T09:30:00+01:00;6;Steiermark;2459841;558554;1901287
2021-03-19T09:30:00+01:00;7;Tirol;1969077;649901;1319176
2021-03-19T09:30:00+01:00;8;Vorarlberg;1098690;346817;751873
2021-03-19T09:30:00+01:00;9;Wien;4049950;2084547;1965403
2021-03-19T09:30:00+01:00;10;Österreich;19845558;6238755;13606803
2021-03-20T09:30:00+01:00;1;Burgenland;835606;171866;663740
2021-03-20T09:30:00+01:00;2;Kärnten;873766;238734;635032
2021-03-20T09:30:00+01:00;3;Niederösterreich;4526483;1314724;3211759
2021-03-20T09:30:00+01:00;4;Oberösterreich;2991505;588202;2403303
2021-03-20T09:30:00+01:00;5;Salzburg;1184231;302701;881530
2021-03-20T09:30:00+01:00;6;Steiermark;2493346;560759;1932587
2021-03-20T09:30:00+01:00;7;Tirol;1986242;654513;1331729
2021-03-20T09:30:00+01:00;8;Vorarlberg;1141970;363835;778135
2021-03-20T09:30:00+01:00;9;Wien;4090443;2094724;1995719
2021-03-20T09:30:00+01:00;10;Österreich;20123592;6290058;13833534
2021-03-21T09:30:00+01:00;1;Burgenland;842503;173335;669168
2021-03-21T09:30:00+01:00;2;Kärnten;874442;239351;635091
2021-03-21T09:30:00+01:00;3;Niederösterreich;4579366;1326016;3253350
2021-03-21T09:30:00+01:00;4;Oberösterreich;3014683;590380;2424303
2021-03-21T09:30:00+01:00;5;Salzburg;1194163;303841;890322
2021-03-21T09:30:00+01:00;6;Steiermark;2519857;562317;1957540
2021-03-21T09:30:00+01:00;7;Tirol;1990374;658645;1331729
2021-03-21T09:30:00+01:00;8;Vorarlberg;1182027;388614;793413
2021-03-21T09:30:00+01:00;9;Wien;4119141;2099208;2019933
2021-03-21T09:30:00+01:00;10;Österreich;20316556;6341707;13974849
2021-03-22T09:30:00+01:00;1;Burgenland;849033;173957;675076
2021-03-22T09:30:00+01:00;2;Kärnten;876391;241262;635129
2021-03-22T09:30:00+01:00;3;Niederösterreich;4617906;1334355;3283551
2021-03-22T09:30:00+01:00;4;Oberösterreich;3040358;591821;2448537
2021-03-22T09:30:00+01:00;5;Salzburg;1195805;305136;890669
2021-03-22T09:30:00+01:00;6;Steiermark;2521739;564199;1957540
2021-03-22T09:30:00+01:00;7;Tirol;2019901;664006;1355895
2021-03-22T09:30:00+01:00;8;Vorarlberg;1205686;404002;801684
2021-03-22T09:30:00+01:00;9;Wien;4149666;2103661;2046005
2021-03-22T09:30:00+01:00;10;Österreich;20476485;6382399;14094086
2021-03-23T09:30:00+01:00;1;Burgenland;861558;174679;686879
2021-03-23T09:30:00+01:00;2;Kärnten;929695;242218;687477
2021-03-23T09:30:00+01:00;3;Niederösterreich;4694800;1339132;3355668
2021-03-23T09:30:00+01:00;4;Oberösterreich;3088116;594780;2493336
2021-03-23T09:30:00+01:00;5;Salzburg;1232030;306604;925426
2021-03-23T09:30:00+01:00;6;Steiermark;2572266;568895;2003371
2021-03-23T09:30:00+01:00;7;Tirol;2036946;670212;1366734
2021-03-23T09:30:00+01:00;8;Vorarlberg;1234614;412368;822246
2021-03-23T09:30:00+01:00;9;Wien;4196267;2122678;2073589
2021-03-23T09:30:00+01:00;10;Österreich;20846292;6431566;14414726
2021-03-24T09:30:00+01:00;1;Burgenland;872896;176121;696775
2021-03-24T09:30:00+01:00;2;Kärnten;931134;243164;687970
2021-03-24T09:30:00+01:00;3;Niederösterreich;4767494;1345120;3422374
2021-03-24T09:30:00+01:00;4;Oberösterreich;3129752;598002;2531750
2021-03-24T09:30:00+01:00;5;Salzburg;1252911;308780;944131
2021-03-24T09:30:00+01:00;6;Steiermark;2625970;571728;2054242
2021-03-24T09:30:00+01:00;7;Tirol;2053643;676228;1377415
2021-03-24T09:30:00+01:00;8;Vorarlberg;1273158;431299;841859
2021-03-24T09:30:00+01:00;9;Wien;4240176;2142874;2097302
2021-03-24T09:30:00+01:00;10;Österreich;21147134;6493316;14653818
2021-03-25T09:30:00+01:00;1;Burgenland;884164;177254;706910
2021-03-25T09:30:00+01:00;2;Kärnten;932192;244147;688045
2021-03-25T09:30:00+01:00;3;Niederösterreich;4855242;1358212;3497030
2021-03-25T09:30:00+01:00;4;Oberösterreich;3184428;600979;2583449
2021-03-25T09:30:00+01:00;5;Salzburg;1274885;311110;963775
2021-03-25T09:30:00+01:00;6;Steiermark;2657562;575061;2082501
2021-03-25T09:30:00+01:00;7;Tirol;2178261;681990;1496271
2021-03-25T09:30:00+01:00;8;Vorarlberg;1313899;448492;865407
2021-03-25T09:30:00+01:00;9;Wien;4284829;2171309;2113520
2021-03-25T09:30:00+01:00;10;Österreich;21565462;6568554;14996908
2021-03-26T09:30:00+01:00;1;Burgenland;899869;178434;721435
2021-03-26T09:30:00+01:00;2;Kärnten;933153;245108;688045
2021-03-26T09:30:00+01:00;3;Niederösterreich;4935497;1369259;3566238
2021-03-26T09:30:00+01:00;4;Oberösterreich;3218056;604271;2613785
2021-03-26T09:30:00+01:00;5;Salzburg;1295737;312885;982852
2021-03-26T09:30:00+01:00;6;Steiermark;2663502;578496;2085006
2021-03-26T09:30:00+01:00;7;Tirol;2194887;687087;1507800
2021-03-26T09:30:00+01:00;8;Vorarlberg;1337430;472023;865407
2021-03-26T09:30:00+01:00;9;Wien;4572963;2109209;2463754
2021-03-26T09:30:00+01:00;10;Österreich;22051094;6556772;15494322
2021-03-27T09:30:00+01:00;1;Burgenland;917549;179517;738032
2021-03-27T09:30:00+01:00;2;Kärnten;934164;246030;688134
2021-03-27T09:30:00+01:00;3;Niederösterreich;5025191;1381885;3643306
2021-03-27T09:30:00+01:00;4;Oberösterreich;3252545;606881;2645664
2021-03-27T09:30:00+01:00;5;Salzburg;1320211;314792;1005419
2021-03-27T09:30:00+01:00;6;Steiermark;2698663;580529;2118134
2021-03-27T09:30:00+01:00;7;Tirol;2211937;691486;1520451
2021-03-27T09:30:00+01:00;8;Vorarlberg;1196919;195074;1001845
2021-03-27T09:30:00+01:00;9;Wien;4637257;2137532;2499725
