BKZ	BLKZ	PB	BL	WKNR	WKNAME	AREA	CENTER_X	CENTER_Y
101	1	Eisenstadt (Stadt)	Burgenland	1A	Burgenland Nord	42.844	16.533228	47.845255
102	1	Rust (Stadt)	Burgenland	1A	Burgenland Nord	19.991	16.686455	47.802296
103	1	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	452.676	16.591821	47.854284
104	1	Güssing	Burgenland	1B	Burgenland Süd	485.032	16.297412	47.102314
105	1	Jennersdorf	Burgenland	1B	Burgenland Süd	253.196	16.144689	46.967578
106	1	Mattersburg	Burgenland	1A	Burgenland Nord	237.643	16.401114	47.735931
107	1	Neusiedl am See	Burgenland	1A	Burgenland Nord	1037.629	16.916924	47.881008
108	1	Oberpullendorf	Burgenland	1B	Burgenland Süd	700.794	16.483454	47.512994
109	1	Oberwart	Burgenland	1B	Burgenland Süd	732.085	16.26588	47.295707
201	2	Klagenfurt Stadt	Kärnten	2A	Klagenfurt	120.032	14.295763	46.638872
202	2	Villach Stadt	Kärnten	2B	Villach	134.918	13.83523	46.610839
203	2	Hermagor	Kärnten	2C	Kärnten West	808.972	13.120905	46.647193
204	2	Klagenfurt Land	Kärnten	2A	Klagenfurt	766.416	14.29473	46.569878
205	2	Sankt Veit an der Glan	Kärnten	2D	Kärnten Ost	1493.692	14.340737	46.883957
206	2	Spittal an der Drau	Kärnten	2C	Kärnten West	2764.153	13.271634	46.898825
207	2	Villach Land	Kärnten	2B	Villach	1009.165	13.76844	46.643238
208	2	Völkermarkt	Kärnten	2D	Kärnten Ost	908.029	14.656579	46.595957
209	2	Wolfsberg	Kärnten	2D	Kärnten Ost	974.068	14.850371	46.845828
210	2	Feldkirchen	Kärnten	2C	Kärnten West	558.568	14.006357	46.788418
301	3	Krems an der Donau (Stadt)	Niederösterreich	3B	Waldviertel	51.701	15.618149	48.409025
302	3	Sankt Pölten (Stadt)	Niederösterreich	3D	Niederösterreich Mitte	108.444	15.641912	48.198916
303	3	Waidhofen an der Ybbs (Stadt)	Niederösterreich	3C	Mostviertel	131.183	14.778499	47.956518
304	3	Wiener Neustadt (Stadt)	Niederösterreich	3E	Niederösterreich Süd	60.89	16.222105	47.804801
