GKZ	BKZ	BLKZ	PG	PB	BL	WKNR	WKNAME	AREA	CENTER_X	CENTER_Y
10101	101	1	Eisenstadt	Eisenstadt (Stadt)	Burgenland	1A	Burgenland Nord	42.844	16.533228	47.845255
10201	102	1	Rust	Rust (Stadt)	Burgenland	1A	Burgenland Nord	19.991	16.686455	47.802296
10301	103	1	Breitenbrunn am Neusiedler See	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	25.727	16.734897	47.937358
10302	103	1	Donnerskirchen	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	33.919	16.662392	47.893405
10303	103	1	Großhöflein	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	14.249	16.477485	47.828994
10304	103	1	Hornstein	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	37.036	16.458338	47.882317
10305	103	1	Klingenbach	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	4.82	16.550765	47.756935
10306	103	1	Leithaprodersdorf	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	18.935	16.492941	47.924131
10307	103	1	Mörbisch am See	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	28.01	16.684923	47.761462
10308	103	1	Müllendorf	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	12.781	16.450996	47.841608
10309	103	1	Neufeld an der Leitha	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	4.291	16.374343	47.864294
10310	103	1	Oggau am Neusiedler See	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	52.083	16.706794	47.849859
10311	103	1	Oslip	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	17.817	16.606312	47.842079
10312	103	1	Purbach am Neusiedler See	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	45.747	16.701641	47.917664
10313	103	1	Sankt Margarethen im Burgenland	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	26.514	16.621988	47.791919
10314	103	1	Schützen am Gebirge	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	21.176	16.617509	47.867343
10315	103	1	Siegendorf	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	23.037	16.568817	47.775435
10316	103	1	Steinbrunn	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	15.345	16.408279	47.842769
10317	103	1	Trausdorf an der Wulka	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	15.423	16.56616	47.815569
10318	103	1	Wimpassing an der Leitha	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	7.906	16.441717	47.912099
10319	103	1	Wulkaprodersdorf	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	12.208	16.492841	47.797913
10320	103	1	Loretto	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	2.38	16.518337	47.908413
10321	103	1	Stotzing	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	12.889	16.542171	47.895137
10322	103	1	Zillingtal	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	13.091	16.406177	47.814388
10323	103	1	Zagersdorf	Eisenstadt-Umgebung	Burgenland	1A	Burgenland Nord	7.294	16.519109	47.760377
10401	104	1	Bocksdorf	Güssing	Burgenland	1B	Burgenland Süd	9.985	16.183955	47.141781
10402	104	1	Burgauberg-Neudauberg	Güssing	Burgenland	1B	Burgenland Süd	10.912	16.1243	47.157192
10403	104	1	Eberau	Güssing	Burgenland	1B	Burgenland Süd	30.722	16.447151	47.10083
10404	104	1	Gerersdorf-Sulz	Güssing	Burgenland	1B	Burgenland Süd	21.615	16.249014	47.075258
10405	104	1	Güssing	Güssing	Burgenland	1B	Burgenland Süd	49.284	16.335021	47.0576
10406	104	1	Güttenbach	Güssing	Burgenland	1B	Burgenland Süd	15.886	16.295936	47.16884
10407	104	1	Heiligenbrunn	Güssing	Burgenland	1B	Burgenland Süd	33.491	16.434796	47.016222
10408	104	1	Kukmirn	Güssing	Burgenland	1B	Burgenland Süd	40.475	16.184056	47.07552
10409	104	1	Neuberg im Burgenland	Güssing	Burgenland	1B	Burgenland Süd	17.596	16.252691	47.177922
10410	104	1	Neustift bei Güssing	Güssing	Burgenland	1B	Burgenland Süd	11.436	16.26332	47.029971
10411	104	1	Olbendorf	Güssing	Burgenland	1B	Burgenland Süd	17.366	16.208309	47.193201
10412	104	1	Ollersdorf im Burgenland	Güssing	Burgenland	1B	Burgenland Süd	8.851	16.156959	47.187828
10413	104	1	Sankt Michael im Burgenland	Güssing	Burgenland	1B	Burgenland Süd	18.363	16.264524	47.125178
10414	104	1	Stegersbach	Güssing	Burgenland	1B	Burgenland Süd	17.762	16.167574	47.161093
10415	104	1	Stinatz	Güssing	Burgenland	1B	Burgenland Süd	9.493	16.122382	47.209504
10416	104	1	Strem	Güssing	Burgenland	1B	Burgenland Süd	23.762	16.410538	47.061747
10417	104	1	Tobaj	Güssing	Burgenland	1B	Burgenland Süd	58.102	16.333856	47.109291
10418	104	1	Hackerberg	Güssing	Burgenland	1B	Burgenland Süd	3.865	16.111019	47.19132
10419	104	1	Wörterberg	Güssing	Burgenland	1B	Burgenland Süd	4.762	16.094901	47.217889
10420	104	1	Großmürbisch	Güssing	Burgenland	1B	Burgenland Süd	7.915	16.354631	47.013834
10421	104	1	Inzenhof	Güssing	Burgenland	1B	Burgenland Süd	5.97	16.314281	47.013501
10422	104	1	Kleinmürbisch	Güssing	Burgenland	1B	Burgenland Süd	4.29	16.320218	47.029161
10423	104	1	Tschanigraben	Güssing	Burgenland	1B	Burgenland Süd	1.708	16.310827	47.004332
10424	104	1	Heugraben	Güssing	Burgenland	1B	Burgenland Süd	6.468	16.197928	47.116022
10425	104	1	Rohr im Burgenland	Güssing	Burgenland	1B	Burgenland Süd	8.372	16.159511	47.118206
10426	104	1	Bildein	Güssing	Burgenland	1B	Burgenland Süd	15.903	16.486784	47.133876
10427	104	1	Rauchwart	Güssing	Burgenland	1B	Burgenland Süd	17.503	16.227845	47.139546
10428	104	1	Moschendorf	Güssing	Burgenland	1B	Burgenland Süd	13.173	16.475289	47.057458
10501	105	1	Deutsch Kaltenbrunn	Jennersdorf	Burgenland	1B	Burgenland Süd	24.179	16.117551	47.097798
10502	105	1	Eltendorf	Jennersdorf	Burgenland	1B	Burgenland Süd	20.571	16.209919	47.019907
10503	105	1	Heiligenkreuz im Lafnitztal	Jennersdorf	Burgenland	1B	Burgenland Süd	23.768	16.252248	46.994453
10504	105	1	Jennersdorf	Jennersdorf	Burgenland	1B	Burgenland Süd	37.902	16.139263	46.957623
10505	105	1	Minihof-Liebau	Jennersdorf	Burgenland	1B	Burgenland Süd	16.258	16.077235	46.879621
