GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	LIF	NEIN	KPÖ	ÖNP	DBP
0	OESTERREICH	5768099	4959455	4844173	115282	1843474	1370510	1060377	233208	267026	53176	13938	1634	830
1	BURGENLAND	212319	190420	185983	4437	82970	59286	31509	4682	6108	1190	238	0	0
1A	BURGENLAND NORD	104649	94822	92594	2228	41991	28037	15822	2514	3435	657	138	0	0
1A999	Wahlkarten		2221	2203	18	808	609	385	181	199	19	2	0	0
1B	BURGENLAND SUED	107670	95598	93389	2209	40979	31249	15687	2168	2673	533	100	0	0
1B999	Wahlkarten		3118	3075	43	1157	819	474	291	312	21	1	0	0
101	EISENSTADT STADT	8514	7461	7284	177	2094	3135	1264	298	434	47	12	0	0
10101	EISENSTADT STADT	8514	7461	7284	177	2094	3135	1264	298	434	47	12	0	0
102	RUST STADT	1343	1169	1141	28	493	320	253	27	40	2	6	0	0
10201	RUST STADT	1343	1169	1141	28	493	320	253	27	40	2	6	0	0
103	EISENSTADT-UMGEBUNG	28442	25183	24576	607	11705	7215	3917	613	895	185	46	0	0
10301	BREITENBRUNN	1285	1131	1098	33	451	351	191	40	55	7	3	0	0
10302	DONNERSKIRCHEN	1244	1074	1054	20	292	374	353	14	16	4	1	0	0
10303	GROSSHOEFLEIN	1320	1190	1169	21	509	372	221	22	40	5	0	0	0
10304	HORNSTEIN	1913	1675	1642	33	880	280	317	42	98	20	5	0	0
10305	KLINGENBACH	888	801	786	15	478	211	72	9	14	2	0	0	0
10306	LEITHAPRODERSDORF	793	717	695	22	189	397	69	16	18	4	2	0	0
10307	MOERBISCH AM SEE	1847	1599	1550	49	722	358	380	32	41	15	2	0	0
10308	MUELLENDORF	925	821	804	17	372	225	133	23	44	5	2	0	0
10309	NEUFELD A.D. LEITHA	2048	1824	1769	55	1061	253	290	45	90	26	4	0	0
10310	OGGAU	1427	1296	1256	40	522	440	234	14	28	16	2	0	0
10311	OSLIP	977	881	859	22	426	296	77	28	26	3	3	0	0
10312	PURBACH/NEUSIEDL.SEE	1886	1675	1638	37	672	670	225	29	33	7	2	0	0
10313	ST.MARGARETHEN	2109	1848	1796	52	737	626	290	54	67	17	5	0	0
10314	SCHUETZEN AM GEBIRGE	1049	957	933	24	325	420	148	12	24	4	0	0	0
10315	SIEGENDORF	1903	1715	1687	28	1125	251	169	55	69	11	7	0	0
10316	STEINBRUNN	1381	1183	1155	28	674	234	158	27	47	12	3	0	0
10317	TRAUSDORF A.D. WULKA	1298	1123	1102	21	534	329	134	37	65	3	0	0	0
10318	WIMPASSING/LEITHA	660	552	539	13	203	161	139	13	18	4	1	0	0
10319	WULKAPRODERSDORF	1438	1305	1271	34	649	374	115	71	49	10	3	0	0
10320	LORETTO	275	245	239	6	86	91	45	2	15	0	0	0	0
10321	STOTZING	569	511	496	15	273	159	46	7	9	2	0	0	0
10322	ZILLINGTAL	496	433	423	10	222	123	52	8	13	5	0	0	0
10323	ZAGERSDORF	711	627	615	12	303	220	59	13	16	3	1	0	0
104	GUESSING	21608	18487	18082	405	7429	6846	2965	307	420	100	15	0	0
10401	BOCKSDORF	641	578	560	18	301	122	104	8	16	8	1	0	0
10402	BURGAUBERG-NEUDAUB.	996	857	832	25	344	255	188	15	21	8	1	0	0
10403	EBERAU	806	675	661	14	164	381	98	2	16	0	0	0	0
10404	GERERSDORF-SULZ	875	740	722	18	277	349	66	11	16	2	1	0	0
10405	GUESSING	3124	2617	2570	47	921	1080	401	57	93	18	0	0	0
10406	GUETTENBACH	791	697	671	26	254	316	66	12	19	3	1	0	0
10407	HEILIGENBRUNN	780	685	663	22	206	364	75	12	6	0	0	0	0
10408	KUKMIRN	1579	1364	1345	19	477	521	285	23	29	7	3	0	0
10409	NEUBERG IM BGLD.	840	711	691	20	322	249	105	3	11	1	0	0	0
10410	NEUSTIFT/GUESSING	464	388	380	8	219	65	81	4	10	1	0	0	0
10411	OLBENDORF	1354	1059	1038	21	648	150	187	19	27	6	1	0	0
10412	OLLERSDORF IM BGLD.	774	675	661	14	308	218	104	13	15	3	0	0	0
10413	ST.MICHAEL/BGL	905	785	773	12	280	315	151	9	14	4	0	0	0
10414	STEGERSBACH	1832	1572	1537	35	733	393	317	35	46	11	2	0	0
10415	STINATZ	1026	873	854	19	520	223	56	36	12	4	3	0	0
10416	STREM	733	678	665	13	134	378	122	4	19	7	1	0	0
10417	TOBAJ	1076	905	883	22	261	421	168	15	11	7	0	0	0
10418	HACKERBERG	300	267	262	5	121	99	30	6	4	2	0	0	0
10419	WOERTERBERG	360	301	297	4	136	106	43	3	7	2	0	0	0
10420	GROSSMUERBISCH	243	202	199	3	72	90	31	1	3	2	0	0	0
10421	INZENHOF	288	235	232	3	129	56	44	1	2	0	0	0	0
10422	KLEINMUERBISCH	190	170	168	2	60	83	20	3	1	1	0	0	0
10423	TSCHANIGRABEN	63	48	47	1	37	3	5	1	1	0	0	0	0
10424	HEUGRABEN	212	189	185	4	71	80	29	1	3	1	0	0	0
10425	ROHR IM BURGENLAND	310	279	267	12	112	95	51	1	7	0	1	0	0
10426	BILDEIN	310	270	268	2	43	170	46	5	3	1	0	0	0
10427	RAUCHWART	377	332	324	8	182	84	49	3	5	1	0	0	0
10428	MOSCHENDORF	359	335	327	8	97	180	43	4	3	0	0	0	0
105	JENNERSDORF	13976	11738	11445	293	4546	3800	2492	260	279	55	13	0	0
10501	DEUTSCH KALTENBRUNN	1422	1195	1166	29	618	224	256	27	33	8	0	0	0
10502	ELTENDORF	804	662	648	14	240	201	184	9	14	0	0	0	0
10503	HEILIGENKREUZ/LAFN.	1027	873	857	16	364	279	173	15	19	4	3	0	0
10504	JENNERSDORF	3241	2704	2633	71	797	1045	639	72	65	13	2	0	0
10505	MINIHOF-LIEBAU	899	753	735	18	330	214	149	10	27	4	1	0	0
10506	MOGERSDORF	932	788	764	24	435	192	106	13	13	2	3	0	0
10507	NEUHAUS/KLAUSENBACH	854	686	668	18	208	278	158	10	12	2	0	0	0
10508	RUDERSDORF	1523	1334	1295	39	492	410	291	41	50	10	1	0	0
10509	ST.MARTIN A.D. RAAB	1690	1450	1415	35	563	533	251	36	26	4	2	0	0
10510	WEICHSELBAUM	652	486	473	13	162	221	77	5	5	3	0	0	0
10511	KOENIGSDORF	614	515	505	10	170	151	153	18	9	3	1	0	0
10512	MUEHLGRABEN	318	292	286	6	167	52	55	4	6	2	0	0	0
106	MATTERSBURG	27467	24352	23755	597	11661	6523	3930	567	873	161	40	0	0
10601	DRASSBURG	882	804	788	16	524	147	70	14	29	4	0	0	0
10602	FORCHTENSTEIN	2181	1910	1856	54	848	579	318	36	50	24	1	0	0
10603	HIRM	665	607	593	14	405	49	97	14	25	2	1	0	0
10604	LOIPERSBACH IM BGLD.	923	838	821	17	455	129	190	16	24	5	2	0	0
10605	MARZ	1427	1300	1269	31	577	444	169	26	41	8	4	0	0
10606	MATTERSBURG	4488	3898	3789	109	1676	1090	685	110	197	21	10	0	0
10607	NEUDOERFL	2688	2307	2261	46	1212	472	376	66	100	26	9	0	0
10608	POETTELSDORF	454	398	391	7	137	118	102	7	24	3	0	0	0
10609	POETTSCHING	1817	1592	1558	34	806	350	266	43	75	13	5	0	0
10610	ROHRBACH/MATTERSBURG	2022	1849	1790	59	918	495	307	29	36	5	0	0	0
10611	BAD SAUERBRUNN	1348	1146	1116	30	470	273	226	54	71	21	1	0	0
10612	SCHATTENDORF	1979	1813	1780	33	1110	312	261	44	44	7	2	0	0
10613	SIEGGRABEN	998	888	869	19	407	308	125	10	19	0	0	0	0
10614	SIGLESS	857	790	771	19	448	176	92	22	26	5	2	0	0
10615	WIESEN	2155	1882	1822	60	555	784	382	31	55	13	2	0	0
10616	ANTAU	545	495	479	16	187	209	66	8	8	1	0	0	0
10617	BAUMGARTEN	683	595	585	10	379	117	51	20	17	1	0	0	0
10618	ZEMENDORF-STOETTERA	933	861	844	17	365	345	95	11	26	1	1	0	0
10619	KRENSDORF	422	379	373	6	182	126	52	6	6	1	0	0	0
107	NEUSIEDL AM SEE	38883	34436	33635	801	15230	10235	6073	828	994	243	32	0	0
10701	ANDAU	2061	1900	1868	32	1038	438	315	30	36	10	1	0	0
10702	APETLON	1526	1395	1375	20	589	555	176	20	23	12	0	0	0
