GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	LIF	GRÜNE	KPÖ	DU	NEIN	CWG
0	OESTERREICH	5838373	4695225	4622354	72871	1532448	1243672	1244087	168612	342260	22016	46943	19286	3030
1	BURGENLAND	214131	187654	184446	3208	77300	56388	38809	3393	6875	452	1229	0	0
1A	BURGENLAND NORD	106793	93910	92302	1608	38908	26734	19888	1988	3827	253	704	0	0
1A999	Wahlkarten		2456	2432	24	854	690	477	139	232	17	23	0	0
1B	BURGENLAND SUED	107338	93744	92144	1600	38392	29654	18921	1405	3048	199	525	0	0
1B999	Wahlkarten		2800	2743	57	1104	697	503	165	242	8	24	0	0
101	EISENSTADT (STADT)	8738	7293	7167	126	1959	2913	1416	271	507	28	73	0	0
10101	EISENSTADT	8738	7293	7167	126	1959	2913	1416	271	507	28	73	0	0
102	RUST (STADT)	1369	1208	1192	16	530	297	292	26	33	3	11	0	0
10201	RUST	1369	1208	1192	16	530	297	292	26	33	3	11	0	0
103	EISENSTADT-UMGEBUNG	29174	25060	24622	438	10839	6989	5048	517	961	70	198	0	0
10301	BREITENBRUNN	1314	1123	1098	25	440	302	255	26	53	4	18	0	0
10302	DONNERSKIRCHEN	1274	1104	1083	21	417	359	233	19	42	2	11	0	0
10303	GROSSHOEFLEIN	1350	1189	1174	15	482	373	259	21	29	2	8	0	0
10304	HORNSTEIN	1896	1615	1586	29	780	228	418	49	80	10	21	0	0
10305	KLINGENBACH	891	764	753	11	430	196	101	5	14	1	6	0	0
10306	LEITHAPRODERSDORF	828	742	737	5	177	385	114	16	36	4	5	0	0
10307	MOERBISCH/SEE	1865	1521	1488	33	655	291	446	32	56	2	6	0	0
10308	MUELLENDORF	926	812	803	9	342	251	143	21	34	2	10	0	0
10309	NEUFELD/LEITHA	2136	1783	1756	27	858	210	528	63	78	5	14	0	0
10310	OGGAU/NEUSIEDLER SEE	1448	1321	1290	31	531	444	255	16	30	3	11	0	0
10311	OSLIP	999	883	867	16	393	320	98	15	34	3	4	0	0
10312	PURBACH/NEUSIEDLER SEE	1960	1732	1704	28	558	741	323	23	47	3	9	0	0
10313	ST.MARGARETHEN/BURGENLAND	2156	1813	1764	49	702	598	367	33	53	1	10	0	0
10314	SCHUETZEN/GEBIRGE	1057	933	903	30	273	390	195	14	23	2	6	0	0
10315	SIEGENDORF	1952	1694	1667	27	1062	247	238	32	74	9	5	0	0
10316	STEINBRUNN	1434	1197	1182	15	614	213	257	25	52	6	15	0	0
10317	TRAUSDORF/WULKA	1363	1156	1141	15	522	324	201	23	51	4	16	0	0
10318	WIMPASSING/LEITHA	762	600	591	9	199	164	187	16	22	0	3	0	0
10319	WULKAPRODERSDORF	1419	1224	1213	11	587	361	131	23	100	4	7	0	0
10320	LORETTO	278	236	232	4	78	90	54	4	4	0	2	0	0
10321	STOTZING	586	508	498	10	230	172	81	6	7	0	2	0	0
10322	ZILLINGTAL	571	481	474	7	220	119	80	18	27	1	9	0	0
10323	ZAGERSDORF	709	629	618	11	289	211	84	17	15	2	0	0	0
104	GUESSING	21558	18395	18108	287	7234	6628	3509	192	444	38	63	0	0
10401	BOCKSDORF	656	565	556	9	291	113	138	1	12	0	1	0	0
10402	BURGAUBERG-NEUDAUBERG	1006	861	844	17	311	265	238	8	21	1	0	0	0
10403	EBERAU	787	649	643	6	166	362	99	2	11	0	3	0	0
10404	GERERSDORF-SULZ	841	716	707	9	290	310	74	11	21	1	0	0	0
10405	GUESSING	3124	2590	2551	39	889	1019	500	43	86	4	10	0	0
10406	GUETTENBACH	804	697	678	19	245	336	68	9	16	1	3	0	0
10407	HEILIGENBRUNN	765	665	655	10	178	359	102	4	11	0	1	0	0
10408	KUKMIRN	1593	1392	1369	23	553	470	290	15	32	3	6	0	0
10409	NEUBERG/BURGENLAND	832	703	689	14	307	231	130	2	17	2	0	0	0
10410	NEUSTIFT/GUESSING	452	373	365	8	206	59	85	6	8	0	1	0	0
10411	OLBENDORF	1310	1054	1046	8	607	144	248	14	25	5	3	0	0
10412	OLLERSDORF/BURGENLAND	790	696	688	8	288	262	105	12	15	5	1	0	0
10413	ST.MICHAEL/BURGENLAND	899	802	784	18	300	278	175	8	19	2	2	0	0
10414	STEGERSBACH	1850	1538	1512	26	677	379	377	18	48	5	8	0	0
10415	STINATZ	1036	912	903	9	543	236	79	6	34	1	4	0	0
10416	STREM	744	645	638	7	119	373	124	5	14	1	2	0	0
10417	TOBAJ	1072	878	864	14	253	391	188	10	18	1	3	0	0
10418	HACKERBERG	296	273	270	3	101	112	47	1	7	0	2	0	0
