GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	WANDL	BZÖ	BIER	CPÖ	GILT	SLP
00000	Österreich	6396812	4835469	4777246	58223	1789417	1011868	772666	387124	89169	664055	32736	22168	760	4946	260	1767	310
10000	Burgenland	233182	189911	187061	2850	71566	54965	32448	9130	2351	15113	739	489	0	0	260	0	0
10099	Wahlkarten - Burgenland (ungültig nicht zuordenbar)	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1A000	Burgenland Nord	123715	100813	99274	1539	37009	28872	16466	5590	1396	9084	411	292	0	0	154	0	0
1A099	Wahlkarten - Burgenland Nord	0	359	358	1	86	58	57	44	14	87	7	4	0	0	1	0	0
1B000	Burgenland Süd	109467	89097	87787	1310	34557	26093	15982	3540	955	6029	328	197	0	0	106	0	0
1B099	Wahlkarten - Burgenland Süd	0	359	354	5	86	56	59	39	12	98	1	2	0	0	1	0	0
10100	Eisenstadt Stadt	10798	8574	8485	89	3523	1685	1162	654	142	1220	39	39	0	0	21	0	0
10101	Eisenstadt	10798	7192	7114	78	2966	1450	1023	535	120	944	28	27	0	0	21	0	0
10199	Wahlkarten - Eisenstadt Stadt	0	1382	1371	11	557	235	139	119	22	276	11	12	0	0	0	0	0
10200	Rust Stadt	1594	1276	1255	21	424	389	239	69	15	106	5	5	0	0	3	0	0
10201	Rust	1594	1055	1037	18	355	315	209	52	12	82	5	4	0	0	3	0	0
10299	Wahlkarten - Rust Stadt	0	221	218	3	69	74	30	17	3	24	0	1	0	0	0	0	0
10300	Eisenstadt - Umgebung	34307	28264	27816	448	10317	8572	4327	1482	410	2478	114	82	0	0	34	0	0
10301	Breitenbrunn am Neusiedler See	1582	1137	1110	27	376	331	149	77	38	132	5	2	0	0	0	0	0
10302	Donnerskirchen	1535	1076	1059	17	470	242	200	60	13	67	6	1	0	0	0	0	0
10303	Großhöflein	1676	1164	1139	25	487	271	183	67	7	115	4	5	0	0	0	0	0
10304	Hornstein	2397	1647	1613	34	515	538	267	89	30	151	13	8	0	0	2	0	0
10305	Klingenbach	870	635	626	9	202	279	86	12	8	30	2	7	0	0	0	0	0
10306	Leithaprodersdorf	965	710	699	11	396	115	87	46	12	39	0	3	0	0	1	0	0
10307	Mörbisch am See	1821	1347	1326	21	450	449	262	48	14	92	2	5	0	0	4	0	0
10308	Müllendorf	1146	868	852	16	328	273	108	42	22	68	2	7	0	0	2	0	0
10309	Neufeld an der Leitha	2642	1868	1840	28	525	610	343	121	27	191	15	8	0	0	0	0	0
10310	Oggau am Neusiedler See	1471	1149	1124	25	420	396	164	50	10	73	4	1	0	0	6	0	0
10311	Oslip	1021	751	737	14	261	268	90	28	13	72	2	2	0	0	1	0	0
10312	Purbach am Neusiedler See	2387	1597	1572	25	680	364	283	90	16	127	3	5	0	0	4	0	0
10313	Sankt Margarethen im Burgenland	2298	1666	1640	26	714	375	303	72	28	140	5	1	0	0	2	0	0
10314	Schützen am Gebirge	1108	849	831	18	392	217	112	43	7	54	0	4	0	0	2	0	0
10315	Siegendorf	2270	1634	1605	29	376	714	259	65	26	153	9	2	0	0	1	0	0
10316	Steinbrunn	2099	1503	1487	16	473	528	249	84	20	120	8	4	0	0	1	0	0
10317	Trausdorf an der Wulka	1658	1150	1139	11	409	397	171	48	21	86	3	2	0	0	2	0	0
10318	Wimpassing an der Leitha	1226	851	839	12	343	187	172	59	8	67	2	1	0	0	0	0	0
10319	Wulkaprodersdorf	1486	1123	1099	24	426	371	105	46	20	125	5	1	0	0	0	0	0
10320	Loretto	411	283	282	1	110	78	48	16	10	18	2	0	0	0	0	0	0
10321	Stotzing	645	470	462	8	203	126	76	31	3	21	1	0	0	0	1	0	0
10322	Zillingtal	761	527	520	7	169	163	84	32	9	60	3	0	0	0	0	0	0
10323	Zagersdorf	832	595	586	9	234	213	73	25	5	30	3	1	0	0	2	0	0
10399	Wahlkarten - Eisenstadt - Umgebung	0	3664	3629	35	1358	1067	453	231	43	447	15	12	0	0	3	0	0
10400	Güssing	21151	17336	17109	227	7357	4935	2828	636	147	1087	59	39	0	0	21	0	0
10401	Bocksdorf	674	488	484	4	157	177	104	18	7	19	2	0	0	0	0	0	0
10402	Burgauberg-Neudauberg	1097	771	758	13	329	183	163	27	4	44	4	2	0	0	2	0	0
10403	Eberau	722	495	488	7	274	93	68	20	5	25	2	1	0	0	0	0	0
10404	Gerersdorf-Sulz	834	601	597	4	282	171	83	16	3	42	0	0	0	0	0	0	0
10405	Güssing	2954	1969	1936	33	876	508	314	92	21	116	5	0	0	0	4	0	0
10406	Güttenbach	725	510	500	10	251	132	61	19	5	31	1	0	0	0	0	0	0
10407	Heiligenbrunn	651	455	448	7	252	107	66	5	1	14	2	1	0	0	0	0	0
10408	Kukmirn	1651	1122	1101	21	459	259	224	50	15	79	9	6	0	0	0	0	0
10409	Neuberg im Burgenland	833	576	570	6	257	183	73	21	2	30	2	1	0	0	1	0	0
10410	Neustift bei Güssing	412	268	265	3	71	115	56	6	2	12	2	0	0	0	1	0	0
10411	Olbendorf	1200	836	817	19	222	328	185	25	5	41	6	2	0	0	3	0	0
10412	Ollersdorf im Burgenland	805	649	639	10	262	206	95	21	6	39	2	5	0	0	3	0	0
10413	Sankt Michael im Burgenland	811	617	608	9	302	136	106	29	4	29	1	1	0	0	0	0	0
10414	Stegersbach	2091	1419	1404	15	520	432	260	65	18	95	7	2	0	0	5	0	0
10415	Stinatz	940	652	645	7	210	327	34	14	6	53	0	1	0	0	0	0	0
10416	Strem	762	537	528	9	309	85	90	17	3	21	2	0	0	0	1	0	0
10417	Tobaj	1112	808	799	9	403	142	166	29	7	41	6	4	0	0	1	0	0
10418	Hackerberg	287	203	201	2	105	58	26	2	2	8	0	0	0	0	0	0	0
10419	Wörterberg	396	290	287	3	116	87	47	5	3	27	0	2	0	0	0	0	0
10420	Großmürbisch	212	149	148	1	81	46	10	4	0	7	0	0	0	0	0	0	0
10421	Inzenhof	252	197	195	2	66	93	31	1	0	4	0	0	0	0	0	0	0
10422	Kleinmürbisch	205	134	131	3	61	46	21	0	0	2	0	1	0	0	0	0	0
10423	Tschanigraben	54	38	37	1	10	21	5	0	0	1	0	0	0	0	0	0	0
10424	Heugraben	187	152	151	1	63	49	32	4	0	3	0	0	0	0	0	0	0
10425	Rohr im Burgenland	327	241	240	1	110	63	50	7	1	8	0	1	0	0	0	0	0
10426	Bildein	261	214	213	1	134	25	36	3	0	14	1	0	0	0	0	0	0
10427	Rauchwart	371	279	271	8	82	102	71	2	2	9	0	3	0	0	0	0	0
10428	Moschendorf	325	257	253	4	148	56	34	1	1	13	0	0	0	0	0	0	0
10499	Wahlkarten - Güssing	0	2409	2395	14	945	705	317	133	24	260	5	6	0	0	0	0	0
10500	Jennersdorf	14311	11323	11157	166	4526	2669	2366	460	147	890	58	30	0	0	11	0	0
10501	Deutsch Kaltenbrunn	1470	965	946	19	339	280	191	38	12	78	4	3	0	0	1	0	0
10502	Eltendorf	791	533	528	5	207	135	126	17	6	34	0	2	0	0	1	0	0
10503	Heiligenkreuz im Lafnitztal	966	632	624	8	262	173	131	16	7	30	2	2	0	0	1	0	0
10504	Jennersdorf	3465	2257	2225	32	913	362	619	88	25	201	13	4	0	0	0	0	0
10505	Minihof-Liebau	879	633	623	10	235	161	141	37	6	35	5	2	0	0	1	0	0
10506	Mogersdorf	915	650	640	10	231	200	132	25	7	38	6	1	0	0	0	0	0
10507	Neuhaus am Klausenbach	754	498	493	5	230	111	93	14	4	33	5	2	0	0	1	0	0
10508	Rudersdorf	1835	1214	1191	23	520	277	227	54	14	90	3	4	0	0	2	0	0
10509	Sankt Martin an der Raab	1715	1277	1255	22	544	289	246	48	18	102	4	2	0	0	2	0	0
10510	Weichselbaum	586	447	436	11	202	113	85	8	8	16	2	2	0	0	0	0	0
10511	Königsdorf	611	453	447	6	181	137	89	13	7	19	0	0	0	0	1	0	0
10512	Mühlgraben	324	237	231	6	63	99	38	13	1	15	2	0	0	0	0	0	0
