CustomerID	Date	Time	ChannelID	ProductID	DealerID	RecipientID	Explorer	Returned	Duration	Clicks	Pieces	Discount
000447674	20170202	032455	T	4	1024	000447674	Internet Explorer   	N	449	27	1	10
000480997	20170201	210317	S	4	1002	000480997	Internet Explorer   	N	358	52	1	0
000626508	20170202	234234	I	8	9998	000626508	Internet Explorer   	N	463	38	2	0
000766770	20170202	190539	T	4	1011	000766770	Netscape            	N	407	61	1	5
000766770	20170210	212811	T	4	1011	000766770	Netscape            	Y	407	61	1	5
000360596	20170202	074451	I	9	9998	000360596	Internet Explorer   	N	1300	90	1	5
000189087	20170202	203006	I	9	9998	000189087	Netscape            	N	390	24	2	0
000250621	20170202	011536	I	1	9998	000250621	Internet Explorer   	N	1725	100	1	0
000309029	20170202	000314	I	3	9996	000309029	Internet Explorer   	N	489	29	1	5
000120187	20170202	190248	I	4	9995	000120187	Internet Explorer   	N	375	34	2	5
000074346	20170202	025427	I	8	9996	000074346	Internet Explorer   	N	463	48	1	0
000475505	20170202	165127	I	2	9999	000475505	Internet Explorer   	N	522	34	2	10
000175611	20170202	043500	I	9	9995	000175611	Other               	N	584	40	1	0
000626992	20170202	022945	T	10	1011	000626992	Internet Explorer   	N	347	22	2	5
000220237	20170202	131116	I	10	9998	000220237	Internet Explorer   	N	541	45	1	5
000815827	20170202	085734	I	6	9997	000815827	Internet Explorer   	N	399	25	1	0
000444343	20170202	061533	U	1	1030	000444343	Netscape            	N	566	43	1	5
000518322	20170202	100906	I	4	9995	000452242	Internet Explorer   	N	1225	87	2	10
000688259	20170201	202934	I	9	9997	000688259	Other               	N	462	42	1	10
000065180	20170202	180653	I	4	9998	000065180	Internet Explorer   	N	457	61	2	10
000402224	20170202	061032	S	10	1026	000402224	Internet Explorer   	N	380	42	1	10
000319992	20170202	073216	I	7	9997	000319992	Internet Explorer   	N	335	12	2	0
000319992	20170206	002056	I	7	9997	000319992	Internet Explorer   	Y	335	12	2	0
000574297	20170202	193501	I	2	9999	000574297	Netscape            	N	387	42	2	0
000379859	20170202	202033	I	8	9996	000379859	Internet Explorer   	N	520	37	2	0
000651975	20170202	144103	I	3	9997	000651975	Internet Explorer   	N	572	40	11	0
000366623	20170202	125225	I	8	9999	000366623	Netscape            	N	1449	59	1	0
000198070	20170202	104307	I	8	9999	000198070	Internet Explorer   	N	525	31	1	5
000261914	20170202	205401	I	5	9995	000261914	Internet Explorer   	N	359	25	2	5
000826709	20170202	124816	I	1	9996	000826709	Internet Explorer   	N	473	43	1	5
000307239	20170201	211513	I	7	9996	000307239	Netscape            	N	484	55	1	5
000577634	20170202	014035	I	9	9999	000577634	Internet Explorer   	N	555	64	1	5
000049567	20170201	220009	T	8	1010	000049567	Netscape            	N	563	34	1	10
000333604	20170202	135303	I	1	9997	000333604	Netscape            	N	1666	101	1	5
000327268	20170201	210606	U	7	1036	000327268	Internet Explorer   	N	308	42	2	5
000335859	20170202	035141	I	2	9995	000335859	Netscape            	N	1385	67	1	0
000753358	20170202	085721	I	6	9998	000753358	Internet Explorer   	N	478	52	1	5
000835469	20170202	190507	I	4	9998	000835469	Internet Explorer   	N	525	47	1	5
000509162	20170202	152025	I	1	9997	000509162	Netscape            	N	342	47	1	10
