date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;valid_certificates;valid_certificates_percent
2022-05-21T23:59:59+02:00;10101;Eisenstadt;15239;12236;11963;9445;10956;71.89448127
2022-05-21T23:59:59+02:00;10201;Rust;1985;1663;1636;1316;1501;75.61712846
2022-05-21T23:59:59+02:00;10301;Breitenbrunn am Neusiedler See;1890;1566;1550;1302;1465;77.51322751
2022-05-21T23:59:59+02:00;10302;Donnerskirchen;1846;1552;1527;1264;1441;78.06067172
2022-05-21T23:59:59+02:00;10303;Großhöflein;2122;1777;1747;1399;1616;76.15457116
2022-05-21T23:59:59+02:00;10304;Hornstein;3217;2622;2573;2082;2392;74.35498912
2022-05-21T23:59:59+02:00;10305;Klingenbach;1270;935;902;720;831;65.43307087
2022-05-21T23:59:59+02:00;10306;Leithaprodersdorf;1212;1063;1044;847;984;81.18811881
2022-05-21T23:59:59+02:00;10307;Mörbisch am See;2192;1879;1844;1505;1704;77.73722628
2022-05-21T23:59:59+02:00;10308;Müllendorf;1400;1166;1148;929;1057;75.5
2022-05-21T23:59:59+02:00;10309;Neufeld an der Leitha;3640;2884;2822;2224;2584;70.98901099
2022-05-21T23:59:59+02:00;10310;Oggau am Neusiedler See;1741;1515;1496;1264;1411;81.04537622
2022-05-21T23:59:59+02:00;10311;Oslip;1291;1105;1094;901;1017;78.77614253
2022-05-21T23:59:59+02:00;10312;Purbach am Neusiedler See;2925;2438;2380;1958;2236;76.44444444
2022-05-21T23:59:59+02:00;10313;Sankt Margarethen im Burgenland;2691;2255;2211;1847;2064;76.70011148
2022-05-21T23:59:59+02:00;10314;Schützen am Gebirge;1436;1197;1178;952;1104;76.88022284
2022-05-21T23:59:59+02:00;10315;Siegendorf;3203;2519;2465;1963;2277;71.0896035
2022-05-21T23:59:59+02:00;10316;Steinbrunn;2994;2408;2352;1829;2173;72.57849031
2022-05-21T23:59:59+02:00;10317;Trausdorf an der Wulka;2083;1785;1754;1456;1643;78.87662026
2022-05-21T23:59:59+02:00;10318;Wimpassing an der Leitha;1717;1276;1241;998;1149;66.91904485
2022-05-21T23:59:59+02:00;10319;Wulkaprodersdorf;1974;1589;1549;1214;1422;72.03647416
2022-05-21T23:59:59+02:00;10320;Loretto;501;398;389;315;357;71.25748503
2022-05-21T23:59:59+02:00;10321;Stotzing;826;656;643;531;604;73.12348668
2022-05-21T23:59:59+02:00;10322;Zillingtal;990;789;778;643;727;73.43434343
2022-05-21T23:59:59+02:00;10323;Zagersdorf;1114;924;907;722;826;74.14721724
2022-05-21T23:59:59+02:00;10401;Bocksdorf;804;646;627;506;600;74.62686567
2022-05-21T23:59:59+02:00;10402;Burgauberg-Neudauberg;1327;1010;987;735;888;66.91785983
2022-05-21T23:59:59+02:00;10403;Eberau;920;740;726;614;667;72.5
2022-05-21T23:59:59+02:00;10404;Gerersdorf-Sulz;1024;851;840;685;794;77.5390625
2022-05-21T23:59:59+02:00;10405;Güssing;3580;2984;2910;2441;2709;75.67039106
2022-05-21T23:59:59+02:00;10406;Güttenbach;870;761;750;623;690;79.31034483
2022-05-21T23:59:59+02:00;10407;Heiligenbrunn;743;597;584;510;545;73.3512786
2022-05-21T23:59:59+02:00;10408;Kukmirn;2012;1524;1465;1174;1344;66.79920477
2022-05-21T23:59:59+02:00;10409;Neuberg im Burgenland;957;776;759;624;710;74.19017764
2022-05-21T23:59:59+02:00;10410;Neustift bei Güssing;447;366;362;296;334;74.72035794
2022-05-21T23:59:59+02:00;10411;Olbendorf;1458;1122;1091;841;1006;68.99862826
2022-05-21T23:59:59+02:00;10412;Ollersdorf im Burgenland;921;753;732;578;662;71.87839305
2022-05-21T23:59:59+02:00;10413;Sankt Michael im Burgenland;986;771;759;622;700;70.99391481
2022-05-21T23:59:59+02:00;10414;Stegersbach;2709;2097;2036;1604;1870;69.02916205
2022-05-21T23:59:59+02:00;10415;Stinatz;1205;1009;989;783;903;74.93775934
2022-05-21T23:59:59+02:00;10416;Strem;888;764;750;620;682;76.8018018
2022-05-21T23:59:59+02:00;10417;Tobaj;1351;1101;1079;889;1004;74.31532198
2022-05-21T23:59:59+02:00;10418;Hackerberg;363;285;276;222;262;72.17630854
2022-05-21T23:59:59+02:00;10419;Wörterberg;481;364;359;264;324;67.35966736
2022-05-21T23:59:59+02:00;10420;Großmürbisch;233;200;198;165;178;76.39484979
2022-05-21T23:59:59+02:00;10421;Inzenhof;329;257;251;203;227;68.99696049
2022-05-21T23:59:59+02:00;10422;Kleinmürbisch;231;207;201;162;182;78.78787879
2022-05-21T23:59:59+02:00;10423;Tschanigraben;65;56;55;50;51;78.46153846
2022-05-21T23:59:59+02:00;10424;Heugraben;224;188;183;143;170;75.89285714
2022-05-21T23:59:59+02:00;10425;Rohr im Burgenland;367;317;309;253;287;78.20163488
2022-05-21T23:59:59+02:00;10426;Bildein;342;272;269;215;246;71.92982456
2022-05-21T23:59:59+02:00;10427;Rauchwart;454;359;346;268;318;70.04405286
2022-05-21T23:59:59+02:00;10428;Moschendorf;387;303;298;261;283;73.12661499
