GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF	DEMOKRATEN	CWG	SLP
0	ÖSTERREICH	5912592	4982261	4909645	72616	1792499	491328	2076833	464980	27568	48083	2439	2009	3906
1	BURGENLAND	215784	194321	191294	3027	87660	12163	81127	9009	475	860	0	0	0
1X	nicht zuordenbar	0	31	0	31	0	0	0	0	0	0	0	0	0
1A	BURGENLAND NORD	108680	98174	96694	1480	45270	6392	39176	5075	255	526	0	0	0
1A999	Wahlkarten		2416	2394	22	871	145	1036	314	7	21	0	0	0
1B	BURGENLAND SÜD	107104	96116	94600	1516	42390	5771	41951	3934	220	334	0	0	0
1B999	Wahlkarten		2926	2906	20	990	179	1246	462	4	25	0	0	0
101	EISENSTADT (Stadt)	8807	7657	7555	102	2248	431	4139	673	20	44	0	0	0
102	RUST (Stadt)	1404	1252	1231	21	583	111	472	50	6	9	0	0	0
103	EISENSTADT-UMGEBUNG	29901	26499	26091	408	12923	1569	10136	1269	76	118	0	0	0
10301	BREITENBRUNN	1362	1215	1199	16	537	64	502	88	4	4	0	0	0
10302	DONNERSKIRCHEN	1302	1176	1165	11	490	87	532	50	4	2	0	0	0
10303	GROSSHÖFLEIN	1386	1226	1196	30	526	72	540	43	3	12	0	0	0
10304	HORNSTEIN	1934	1671	1644	27	903	160	470	94	4	13	0	0	0
10305	KLINGENBACH	891	792	783	9	488	39	232	18	5	1	0	0	0
10306	LEITHAPRODERSDORF	880	806	797	9	218	24	510	40	1	4	0	0	0
10320	LORETTO	299	276	272	4	92	26	139	11	2	2	0	0	0
10307	MÖRBISCH/SEE	1865	1600	1569	31	736	195	571	57	1	9	0	0	0
10308	MÜLLENDORF	972	886	876	10	399	48	376	45	5	3	0	0	0
10309	NEUFELD/LEITHA	2187	1888	1867	21	1093	152	488	119	6	9	0	0	0
10310	OGGAU/NEUSIEDLER SEE	1448	1350	1323	27	609	86	574	51	0	3	0	0	0
10311	OSLIP	1010	907	887	20	466	12	360	46	2	1	0	0	0
10312	PURBACH/NEUSIEDLER SEE	1987	1780	1753	27	786	103	793	62	2	7	0	0	0
