GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN	NFÖ	IVE	STARK	SAU	SLP
0	OESTERREICH	6107892	4793780	4708281	85499	1616493	1663986	519598	520130	193539	47578	131688	10594	592	312	1514	2257
1	BURGENLAND	222281	193047	188823	4224	68078	84953	16336	10972	3247	962	3683	0	592	0	0	0
1X	nicht zuordenbare Wahlkarten	0	36	0	36	0	0	0	0	0	0	0	0	0	0	0	0
1A	BURGENLAND NORD	113383	98339	96256	2083	32896	43930	8766	6290	1618	505	2086	0	165	0	0	0
1A999	Wahlkarten		3039	2991	48	1089	1104	230	463	31	12	58	0	4	0	0	0
1B	BURGENLAND SUED	108898	94672	92567	2105	35182	41023	7570	4682	1629	457	1597	0	427	0	0	0
1B999	Wahlkarten		2980	2948	32	1019	1076	238	472	46	29	52	0	16	0	0	0
101	EISENSTADT (STADT)	9361	7675	7540	135	3409	2232	732	828	111	41	166	0	21	0	0	0
10101	EISENSTADT	9361	7675	7540	135	3409	2232	732	828	111	41	166	0	21	0	0	0
102	RUST (STADT)	1463	1284	1259	25	431	588	107	62	21	5	40	0	5	0	0	0
10201	RUST	1463	1284	1259	25	431	588	107	62	21	5	40	0	5	0	0	0
103	EISENSTADT-UMGEBUNG	31047	26291	25726	565	8519	12332	2180	1557	407	141	547	0	43	0	0	0
10301	BREITENBRUNN	1433	1205	1177	28	413	519	82	100	21	9	32	0	1	0	0	0
10302	DONNERSKIRCHEN	1366	1186	1169	17	452	502	114	48	32	3	16	0	2	0	0	0
10303	GROSSHOEFLEIN	1455	1250	1214	36	448	521	141	60	13	2	25	0	4	0	0	0
10304	HORNSTEIN	2005	1651	1613	38	373	838	182	128	32	12	42	0	6	0	0	0
10305	KLINGENBACH	898	774	764	10	209	468	43	16	13	5	10	0	0	0	0	0
10306	LEITHAPRODERSDORF	879	805	783	22	424	245	34	45	8	6	20	0	1	0	0	0
10307	MOERBISCH/SEE	1896	1552	1524	28	458	678	240	71	26	3	46	0	2	0	0	0
10308	MUELLENDORF	1014	824	814	10	280	367	66	58	16	4	18	0	5	0	0	0
10309	NEUFELD/LEITHA	2289	1835	1809	26	345	1023	187	141	50	16	45	0	2	0	0	0
10310	OGGAU/NEUSIEDLER SEE	1503	1349	1315	34	476	602	129	51	26	5	24	0	2	0	0	0
10311	OSLIP	1012	892	869	23	314	446	31	52	7	4	12	0	3	0	0	0
10312	PURBACH/NEUSIEDLER SEE	2095	1819	1786	33	728	762	124	96	27	12	37	0	0	0	0	0
10313	ST.MARGARETHEN/BURGENLAND	2226	1858	1804	54	771	736	144	84	29	7	33	0	0	0	0	0
10314	SCHUETZEN/GEBIRGE	1115	947	920	27	439	323	80	47	16	3	9	0	3	0	0	0
10315	SIEGENDORF	2066	1758	1731	27	306	1181	94	110	16	4	20	0	0	0	0	0
10316	STEINBRUNN	1604	1362	1329	33	311	754	108	64	18	15	55	0	4	0	0	0
10317	TRAUSDORF/WULKA	1466	1233	1205	28	407	585	93	71	15	6	24	0	4	0	0	0
10318	WIMPASSING/LEITHA	900	717	699	18	260	242	109	52	15	1	19	0	1	0	0	0
10319	WULKAPRODERSDORF	1454	1255	1226	29	370	579	76	157	6	8	29	0	1	0	0	0
10320	LORETTO	330	286	282	4	127	102	23	16	3	2	8	0	1	0	0	0
10321	STOTZING	627	538	525	13	227	255	19	15	5	2	2	0	0	0	0	0
10322	ZILLINGTAL	640	535	527	8	160	274	24	45	5	6	13	0	0	0	0	0
10323	ZAGERSDORF	774	660	641	19	221	330	37	30	8	6	8	0	1	0	0	0
104	GUESSING	21676	18271	17859	412	7830	7412	1100	778	321	103	293	0	22	0	0	0
10401	BOCKSDORF	669	592	575	17	199	297	39	14	14	3	7	0	2	0	0	0
10402	BURGAUBERG-NEUDAUBERG	1100	928	901	27	442	331	57	30	17	8	14	0	2	0	0	0
