GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	KPÖ	PIRAT	CPÖ	WANDL	M	EUAUS	SLP
00000	Österreich	6384308	4782410	4692907	89503	1258605	1125876	962313	165746	582657	268679	232946	48175	36265	6647	3051	490	510	947
10000	Burgenland	232505	192486	188384	4102	70222	50426	32705	3689	12718	11050	5327	930	871	446	0	0	0	0
10099	Wahlkarten - B, ungültig nicht zuordenbar	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10100	Eisenstadt (Stadt)	10407	8200	8037	163	1868	2744	1157	165	1025	446	489	53	62	28	0	0	0	0
10101	Eisenstadt	10407	7378	7229	149	1699	2421	1084	155	888	419	434	47	54	28	0	0	0	0
10199	Wahlkarten - Eisenstadt (Stadt)	0	822	808	14	169	323	73	10	137	27	55	6	8	0	0	0	0	0
10200	Rust (Stadt)	1554	1275	1251	24	486	282	259	20	78	80	35	6	3	2	0	0	0	0
10201	Rust	1554	1167	1146	21	454	254	237	17	69	73	34	3	3	2	0	0	0	0
10299	Wahlkarten - Rust (Stadt)	0	108	105	3	32	28	22	3	9	7	1	3	0	0	0	0	0	0
10300	Eisenstadt-Umgebung	33380	28128	27519	609	10576	6882	4554	607	2067	1631	853	149	144	56	0	0	0	0
10301	Breitenbrunn am Neusiedler See	1586	1187	1164	23	455	254	171	35	113	64	50	9	9	4	0	0	0	0
10302	Donnerskirchen	1458	1108	1089	19	332	384	172	23	75	63	30	3	5	2	0	0	0	0
10303	Großhöflein	1655	1229	1202	27	379	347	192	42	95	94	46	4	3	0	0	0	0	0
10304	Hornstein	2217	1576	1538	38	616	291	278	47	123	104	60	9	8	2	0	0	0	0
10305	Klingenbach	909	704	695	9	354	164	92	11	20	38	9	4	1	2	0	0	0	0
10306	Leithaprodersdorf	974	808	785	23	180	368	106	9	53	36	25	6	0	2	0	0	0	0
10307	Mörbisch am See	1869	1432	1406	26	550	302	302	22	79	87	41	9	8	6	0	0	0	0
10308	Müllendorf	1089	851	824	27	323	171	143	25	70	46	29	5	5	7	0	0	0	0
10309	Neufeld an der Leitha	2449	1813	1771	42	757	205	398	60	142	121	61	12	15	0	0	0	0	0
10310	Oggau am Neusiedler See	1515	1280	1238	42	501	369	208	15	51	53	30	5	2	4	0	0	0	0
10311	Oslip	1039	862	846	16	365	257	83	6	62	41	20	8	1	3	0	0	0	0
10312	Purbach am Neusiedler See	2302	1759	1726	33	537	516	326	39	136	94	62	6	9	1	0	0	0	0
10313	Sankt Margarethen im Burgenland	2307	1790	1748	42	523	597	317	42	119	90	43	7	10	0	0	0	0	0
10314	Schützen am Gebirge	1129	903	881	22	256	313	148	17	56	60	20	6	3	2	0	0	0	0
10315	Siegendorf	2236	1735	1692	43	910	203	248	26	124	116	46	4	12	3	0	0	0	0
10316	Steinbrunn	1931	1483	1456	27	644	252	243	31	99	98	67	11	11	0	0	0	0	0
10317	Trausdorf an der Wulka	1576	1244	1221	23	520	268	179	31	95	69	38	9	8	4	0	0	0	0
10318	Wimpassing an der Leitha	1070	815	806	9	225	188	229	18	54	63	24	2	3	0	0	0	0	0
10319	Wulkaprodersdorf	1496	1171	1138	33	454	302	129	26	117	60	27	9	12	2	0	0	0	0
10320	Loretto	384	283	275	8	84	87	58	5	19	18	4	0	0	0	0	0	0	0
10321	Stotzing	650	452	440	12	162	141	72	14	16	20	10	2	2	1	0	0	0	0
10322	Zillingtal	745	553	540	13	196	126	80	11	59	35	26	5	2	0	0	0	0	0
10323	Zagersdorf	794	619	604	15	259	171	72	13	42	32	8	3	2	2	0	0	0	0
10399	Wahlkarten - Eisenstadt-Umgebung	0	2471	2434	37	994	606	308	39	248	129	77	11	13	9	0	0	0	0
10400	Güssing	21803	18132	17786	346	6423	5598	2676	320	952	1281	375	71	53	37	0	0	0	0
10401	Bocksdorf	676	537	524	13	218	120	92	11	17	55	9	1	1	0	0	0	0	0
10402	Burgauberg-Neudauberg	1113	848	825	23	258	267	136	15	39	76	20	8	6	0	0	0	0	0
10403	Eberau	779	613	608	5	153	307	75	7	20	30	14	0	1	1	0	0	0	0
10404	Gerersdorf-Sulz	858	662	652	10	223	252	65	15	47	35	10	2	3	0	0	0	0	0
10405	Güssing	3011	2107	2069	38	724	657	311	41	143	131	43	9	5	5	0	0	0	0
10406	Güttenbach	761	572	557	15	187	216	60	13	34	32	10	3	1	1	0	0	0	0
10407	Heiligenbrunn	712	547	536	11	140	247	88	5	22	23	9	1	1	0	0	0	0	0
10408	Kukmirn	1688	1232	1202	30	375	342	195	40	62	143	34	6	4	1	0	0	0	0
10409	Neuberg im Burgenland	842	653	644	9	278	162	106	14	24	48	7	4	0	1	0	0	0	0
10410	Neustift bei Güssing	448	339	331	8	168	36	74	1	16	30	4	2	0	0	0	0	0	0
10411	Olbendorf	1241	916	903	13	496	104	155	16	32	74	16	1	0	9	0	0	0	0
10412	Ollersdorf im Burgenland	842	714	703	11	274	212	99	1	36	57	20	2	2	0	0	0	0	0
10413	Sankt Michael im Burgenland	853	662	646	16	202	200	108	15	37	59	19	4	2	0	0	0	0	0
10414	Stegersbach	2048	1427	1392	35	556	301	222	31	82	137	44	6	4	9	0	0	0	0
10415	Stinatz	1003	735	719	16	377	171	59	9	46	33	11	7	4	2	0	0	0	0
10416	Strem	796	576	561	15	119	260	112	8	21	33	5	1	0	2	0	0	0	0
10417	Tobaj	1123	847	836	11	210	332	164	15	26	62	20	2	4	1	0	0	0	0
10418	Hackerberg	303	251	244	7	91	96	32	3	5	9	6	0	2	0	0	0	0	0
10419	Wörterberg	409	305	299	6	105	82	57	7	19	19	6	1	3	0	0	0	0	0
10420	Großmürbisch	217	167	167	0	70	71	7	1	8	6	1	1	0	2	0	0	0	0
10421	Inzenhof	287	238	236	2	164	30	25	3	3	8	2	1	0	0	0	0	0	0
10422	Kleinmürbisch	211	166	164	2	75	54	23	2	1	8	0	0	1	0	0	0	0	0
10423	Tschanigraben	52	35	35	0	27	5	1	0	0	1	1	0	0	0	0	0	0	0
10424	Heugraben	185	164	161	3	52	59	29	4	1	13	3	0	0	0	0	0	0	0
10425	Rohr im Burgenland	333	263	256	7	109	58	55	2	11	17	2	2	0	0	0	0	0	0
10426	Bildein	289	229	226	3	22	151	28	1	12	9	2	0	0	1	0	0	0	0
10427	Rauchwart	381	314	308	6	123	71	73	11	4	20	6	0	0	0	0	0	0	0
10428	Moschendorf	342	287	276	11	62	148	34	5	10	14	3	0	0	0	0	0	0	0
10499	Wahlkarten - Güssing	0	1726	1706	20	565	587	191	24	174	99	48	7	9	2	0	0	0	0
10500	Jennersdorf	14705	11884	11614	270	3641	3094	2407	271	816	973	259	60	58	35	0	0	0	0
10501	Deutsch Kaltenbrunn	1510	1109	1078	31	420	194	207	30	65	121	32	5	3	1	0	0	0	0
10502	Eltendorf	811	605	592	13	190	163	134	18	37	38	6	1	4	1	0	0	0	0
10503	Heiligenkreuz im Lafnitztal	1046	751	738	13	281	180	127	13	33	90	9	2	1	2	0	0	0	0
10504	Jennersdorf	3524	2476	2418	58	549	706	623	60	187	192	62	10	21	8	0	0	0	0
10505	Minihof-Liebau	929	701	680	21	243	133	175	12	29	64	14	2	3	5	0	0	0	0
10506	Mogersdorf	948	725	705	20	302	160	137	9	51	34	8	3	1	0	0	0	0	0
10507	Neuhaus am Klausenbach	822	609	597	12	136	209	135	18	26	48	15	2	3	5	0	0	0	0
