GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP
00000	Österreich	6400993	5120881	5069929	50952	1361746	1595526	1316442	192638	268518	223543	48234	8889	39689	9167	713	693	221	425	2724	761
10000	Burgenland	232740	196577	194630	1947	64070	63858	49127	3932	5603	5529	1295	273	722	221	0	0	0	0	0	0
10099	Wahlkarten - Burgenland	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A000	Burgenland Nord	122645	103971	102946	1025	34186	33221	25142	2266	3401	3314	730	129	428	129	0	0	0	0	0	0
1A099	Wahlkarten - Burgenland Nord	0	333	332	1	70	77	61	24	38	45	4	0	10	3	0	0	0	0	0	0
1B000	Burgenland Süd	110095	92589	91684	905	29884	30637	23985	1666	2202	2215	565	144	294	92	0	0	0	0	0	0
1B099	Wahlkarten - Burgenland Süd	0	411	409	2	118	89	84	36	33	32	8	0	8	1	0	0	0	0	0	0
10100	Eisenstadt(Stadt)	10628	8722	8656	66	2151	3525	1714	347	419	364	60	9	60	7	0	0	0	0	0	0
10101	Eisenstadt	10628	7546	7482	64	1862	3037	1521	283	351	314	52	9	48	5	0	0	0	0	0	0
10199	Wahlkarten - Eisenstadt(Stadt)	0	1176	1174	2	289	488	193	64	68	50	8	0	12	2	0	0	0	0	0	0
10200	Rust(Stadt)	1564	1299	1289	10	447	371	347	29	44	33	12	0	6	0	0	0	0	0	0	0
10201	Rust	1564	1116	1107	9	369	330	309	25	36	24	11	0	3	0	0	0	0	0	0	0
10299	Wahlkarten - Rust(Stadt)	0	183	182	1	78	41	38	4	8	9	1	0	3	0	0	0	0	0	0	0
10300	Eisenstadt-Umgebung	33905	29325	29025	300	10148	9206	6851	592	877	919	238	34	123	37	0	0	0	0	0	0
10301	Breitenbrunn am Neusiedler See	1598	1199	1184	15	408	356	264	28	40	74	10	1	3	0	0	0	0	0	0	0
10302	Donnerskirchen	1520	1157	1145	12	312	427	310	24	28	28	10	1	3	2	0	0	0	0	0	0
10303	Großhöflein	1661	1293	1279	14	371	484	306	26	37	40	3	6	6	0	0	0	0	0	0	0
10304	Hornstein	2324	1708	1688	20	613	491	387	40	43	71	26	1	13	3	0	0	0	0	0	0
10305	Klingenbach	898	721	711	10	331	188	149	7	11	14	7	1	0	3	0	0	0	0	0	0
10306	Leithaprodersdorf	948	786	778	8	165	394	152	16	27	16	6	0	2	0	0	0	0	0	0	0
10307	Mörbisch am See	1829	1455	1444	11	513	424	406	22	38	22	13	0	5	1	0	0	0	0	0	0
10308	Müllendorf	1139	885	872	13	304	258	208	13	41	38	5	1	4	0	0	0	0	0	0	0
10309	Neufeld an der Leitha	2565	1981	1961	20	804	414	540	27	64	81	17	5	8	1	0	0	0	0	0	0
10310	Oggau am Neusiedler See	1471	1203	1190	13	417	425	278	16	21	24	1	4	3	1	0	0	0	0	0	0
10311	Oslip	1023	836	828	8	325	290	153	21	18	11	4	0	5	1	0	0	0	0	0	0
10312	Purbach am Neusiedler See	2364	1845	1828	17	528	622	513	36	46	62	10	2	5	4	0	0	0	0	0	0
10313	Sankt Margarethen im Burgenland	2294	1797	1772	25	463	670	487	33	56	40	13	0	9	1	0	0	0	0	0	0
10314	Schützen am Gebirge	1107	894	880	14	241	396	177	15	27	20	1	1	1	1	0	0	0	0	0	0
10315	Siegendorf	2223	1710	1691	19	868	308	376	28	51	42	14	1	3	0	0	0	0	0	0	0
10316	Steinbrunn	2027	1610	1602	8	605	414	416	30	69	40	19	1	7	1	0	0	0	0	0	0
10317	Trausdorf an der Wulka	1662	1281	1271	10	469	368	304	32	31	49	8	0	9	1	0	0	0	0	0	0
10318	Wimpassing an der Leitha	1163	899	890	9	234	253	290	17	44	32	15	1	3	1	0	0	0	0	0	0
10319	Wulkaprodersdorf	1478	1163	1150	13	448	380	190	39	23	51	9	1	7	2	0	0	0	0	0	0
10320	Loretto	399	305	304	1	92	99	84	4	11	11	2	0	0	1	0	0	0	0	0	0
10321	Stotzing	652	529	522	7	172	192	131	2	13	6	4	0	1	1	0	0	0	0	0	0
10322	Zillingtal	747	552	546	6	182	156	136	10	24	23	10	2	3	0	0	0	0	0	0	0
10323	Zagersdorf	813	617	607	10	235	225	107	4	15	9	5	2	4	1	0	0	0	0	0	0
10399	Wahlkarten - Eisenstadt-Umgebung	0	2899	2882	17	1048	972	487	102	99	115	26	3	19	11	0	0	0	0	0	0
10400	Güssing	21329	18010	17850	160	5631	6568	4372	310	400	405	101	12	40	11	0	0	0	0	0	0
10401	Bocksdorf	690	527	519	8	199	141	144	7	5	13	6	1	3	0	0	0	0	0	0	0
10402	Burgauberg-Neudauberg	1093	802	792	10	226	271	248	15	13	16	2	1	0	0	0	0	0	0	0	0
