GKZ_ALT	PG	GKZ_NEU
60201	Aflenz Kurort	62101
60202	Aflenz Land	62102
61301	Allerheiligen im Mürztal	62103
61302	Altenberg an der Rax	62104
60203	Breitenau am Hochlantsch	62105
60204	Bruck an der Mur	62106
60205	Etmißl	62107
60206	Frauenberg	62108
61303	Ganz	62109
60207	Gußwerk	62110
60208	Halltal	62111
61304	Kapellen	62112
60209	Kapfenberg	62113
61305	Kindberg	62114
61306	Krieglach	62115
61307	Langenwang	62116
60210	Mariazell	62117
61308	Mitterdorf im Mürztal	62118
61309	Mürzhofen	62119
61310	Mürzsteg	62120
61311	Mürzzuschlag	62121
61312	Neuberg an der Mürz	62122
60211	Oberaich	62123
60212	Parschlug	62124
60213	Pernegg an der Mur	62125
60214	Sankt Ilgen	62126
60215	Sankt Katharein an der Laming	62127
60216	Sankt Lorenzen im Mürztal	62128
60217	Sankt Marein im Mürztal	62129
60218	Sankt Sebastian	62130
61313	Spital am Semmering	62131
61314	Stanz im Mürztal	62132
60219	Thörl	62133
60220	Tragöß	62134
60221	Turnau	62135
61315	Veitsch	62136
61316	Wartberg im Mürztal	62137
60401	Auersbach	62301
60402	Aug-Radisch	62302
60403	Bad Gleichenberg	62303
61513	Bad Radkersburg	62304
60404	Bairisch Kölldorf	62305
60405	Baumgarten bei Gnas	62306
61501	Bierbaum am Auersbach	62307
60406	Breitenfeld an der Rittschein	62308
61502	Deutsch Goritz	62309
61503	Dietersdorf am Gnasbach	62310
60407	Edelsbach bei Feldbach	62311
60408	Edelstauden	62312
61504	Eichfeld	62313
60409	Eichkögl	62314
60410	Fehring	62315
60411	Feldbach	62316
60412	Fladnitz im Raabtal	62317
60413	Frannach	62318
60414	Frutten-Gießelsdorf	62319
60415	Glojach	62320
60416	Gnas	62321
60417	Gniebing-Weißenbach	62322
61505	Gosdorf	62323
60418	Gossendorf	62324
60419	Grabersdorf	62325
61506	Halbenrain	62326
60420	Hatzendorf	62327
61508	Hof bei Straden	62328
60421	Hohenbrugg-Weinberg	62329
60422	Jagerberg	62330
60423	Johnsdorf-Brunn	62331
60424	Kapfenstein	62332
60425	Kirchbach in Steiermark	62333
60426	Kirchberg an der Raab	62334
61509	Klöch	62335
60427	Kohlberg	62336
60428	Kornberg bei Riegersburg	62337
60429	Krusdorf	62338
60430	Leitersdorf im Raabtal	62339
60431	Lödersdorf	62340
60432	Maierdorf	62341
60433	Merkendorf	62342
61510	Mettersdorf am Saßbach	62343
60434	Mitterlabill	62344
60435	Mühldorf bei Feldbach	62345
61511	Mureck	62346
61512	Murfeld	62347
60436	Oberdorf am Hochegg	62348
60437	Oberstorcha	62349
60438	Paldau	62350
60439	Perlsdorf	62351
60440	Pertlstein	62352
60441	Petersdorf II	62353
60442	Pirching am Traubenberg	62354
60443	Poppendorf	62355
60444	Raabau	62356
61514	Radkersburg Umgebung	62357
60445	Raning	62358
61515	Ratschendorf	62359
60447	Riegersburg	62360
60448	Sankt Anna am Aigen	62361
61516	Sankt Peter am Ottersbach	62362
60449	Sankt Stefan im Rosental	62363
60450	Schwarzau im Schwarzautal	62364
60451	Stainz bei Straden	62365
61517	Straden	62366
60452	Studenzen	62367
61518	Tieschen	62368
60453	Trautmannsdorf in Oststeiermark	62369
61519	Trössing	62370
60454	Unterauersbach	62371
60455	Unterlamm	62372
61520	Weinburg am Saßbach	62373
60456	Zerlach	62374
60501	Altenmarkt bei Fürstenfeld	62201
60502	Bad Blumau	62202
60748	Bad Waltersdorf	62203
60701	Blaindorf	62204
60702	Buch-St. Magdalena	62205
60734	Buch-St. Magdalena	62205
60503	Burgau	62206
60703	Dechantskirchen	62207
60704	Dienersdorf	62208
60705	Ebersdorf	62209
60716	Eichberg	62210
60706	Friedberg	62211
60504	Fürstenfeld	62212
60707	Grafendorf bei Hartberg	62213
60708	Greinbach	62214
60709	Großhart	62215
60505	Großsteinbach	62216
60506	Großwilfersdorf	62217
60507	Hainersdorf	62218
60710	Hartberg	62219
60711	Hartberg Umgebung	62220
60712	Hartl	62221
60713	Hofkirchen bei Hartberg	62222
60508	Ilz	62223
60714	Kaibing	62224
60715	Kaindorf	62225
60717	Lafnitz	62226
60718	Limbach bei Neudau	62227
60509	Loipersdorf bei Fürstenfeld	62228
60719	Mönichwald	62229
60510	Nestelbach im Ilztal	62230
60720	Neudau	62231
60511	Ottendorf an der Rittschein	62232
60721	Pinggau	62233
60722	Pöllau	62234
60723	Pöllauberg	62235
60724	Puchegg	62236
60725	Rabenwald	62237
60726	Riegersberg	62238
60727	Rohr bei Hartberg	62239
60728	Rohrbach an der Lafnitz	62240
60729	Saifen-Boden	62241
60730	Sankt Jakob im Walde	62242
60731	Sankt Johann bei Herberstein	62243
60732	Sankt Johann in der Haide	62244
60733	Sankt Lorenzen am Wechsel	62245
60735	Schachen bei Vorau	62246
60736	Schäffern	62247
60737	Schlag bei Thalberg	62248
60738	Schönegg bei Pöllau	62249
60739	Sebersdorf	62250
60740	Siegersdorf bei Herberstein	62251
60512	Söchau	62252
60741	Sonnhofen	62253
60742	Stambach	62254
60513	Stein	62255
60743	Stubenberg	62256
60744	Tiefenbach bei Kaindorf	62257
60514	Übersbach	62258
60745	Vorau	62259
60746	Vornholz	62260
60747	Waldbach	62261
60749	Wenigzell	62262
60750	Wörth an der Lafnitz	62263
60801	Amering	62001
60901	Apfelberg	62002
60802	Bretstein	62003
60803	Eppenstein	62004
60902	Feistritz bei Knittelfeld	62005
60903	Flatschach	62006
60804	Fohnsdorf	62007
60904	Gaal	62008
60905	Großlobming	62009
60805	Hohentauern	62010
60806	Judenburg	62011
60906	Kleinlobming	62012
60907	Knittelfeld	62013
60908	Kobenz	62014
60809	Maria Buch-Feistritz	62015
60810	Obdach	62016
60811	Oberkurzheim	62017
60812	Oberweg	62018
60813	Oberzeiring	62019
60814	Pöls	62020
60815	Pusterwald	62021
60909	Rachau	62022
60816	Reifling	62023
60817	Reisstraße	62024
60808	Sankt Anna am Lavantegg	62025
60818	Sankt Georgen ob Judenburg	62026
60819	Sankt Johann am Tauern	62027
60910	Sankt Lorenzen bei Knittelfeld	62028
60911	Sankt Marein bei Knittelfeld	62029
60912	Sankt Margarethen bei Knittelfeld	62030
60820	Sankt Oswald-Möderbrugg	62031
60821	Sankt Peter ob Judenburg	62032
60807	Sankt Wolfgang-Kienberg	62033
60913	Seckau	62034
60914	Spielberg	62035
60822	Unzmarkt-Frauenburg	62036
60823	Weißkirchen in Steiermark	62037
60824	Zeltweg	62038
61102	Gai	61120
61103	Hafning bei Trofaiach	61120
61117	Trofaiach	61120
