GKZ_NEU	PG_NEU	GKZ_ALT	PG_ALT
62105	Breitenau am Hochlantsch	62105	Breitenau am Hochlantsch
62115	Krieglach	62115	Krieglach
62116	Langenwang	62116	Langenwang
62125	Pernegg an der Mur	62125	Pernegg an der Mur
62128	Sankt Lorenzen im Mürztal	62128	Sankt Lorenzen im Mürztal
62131	Spital am Semmering	62131	Spital am Semmering
62132	Stanz im Mürztal	62132	Stanz im Mürztal
62135	Turnau	62135	Turnau
62138	Aflenz	62101	Aflenz Kurort
62138	Aflenz	62102	Aflenz Land
62139	Bruck an der Mur	62106	Bruck an der Mur
62139	Bruck an der Mur	62123	Oberaich
62140	Kapfenberg	62113	Kapfenberg
62140	Kapfenberg	62124	Parschlug
62141	Kindberg	62103	Allerheiligen im Mürztal
62141	Kindberg	62114	Kindberg
62141	Kindberg	62119	Mürzhofen
62142	Mariazell	62110	Gußwerk
62142	Mariazell	62111	Halltal
62142	Mariazell	62117	Mariazell
62142	Mariazell	62130	Sankt Sebastian
62143	Mürzzuschlag	62109	Ganz
62143	Mürzzuschlag	62121	Mürzzuschlag
62144	Neuberg an der Mürz	62104	Altenberg an der Rax
62144	Neuberg an der Mürz	62112	Kapellen
62144	Neuberg an der Mürz	62120	Mürzsteg
62144	Neuberg an der Mürz	62122	Neuberg an der Mürz
62145	Sankt Barbara im Mürztal	62118	Mitterdorf im Mürztal
62145	Sankt Barbara im Mürztal	62136	Veitsch
62145	Sankt Barbara im Mürztal	62137	Wartberg im Mürztal
62146	Sankt Marein im Mürztal	62108	Frauenberg
62146	Sankt Marein im Mürztal	62129	Sankt Marein im Mürztal
62147	Thörl	62107	Etmißl
62147	Thörl	62126	Sankt Ilgen
62147	Thörl	62133	Thörl
62148	Tragöß-Sankt Katharein	62127	Sankt Katharein an der Laming
62148	Tragöß-Sankt Katharein	62134	Tragöß
60305	Frauental an der Laßnitz	60305	Frauental an der Laßnitz
60318	Lannach	60318	Lannach
60323	Pölfing-Brunn	60323	Pölfing-Brunn
60324	Preding	60324	Preding
60326	Sankt Josef (Weststeiermark)	60326	Sankt Josef (Weststeiermark)
60329	Sankt Peter im Sulmtal	60329	Sankt Peter im Sulmtal
60341	Wettmannstätten	60341	Wettmannstätten
60344	Deutschlandsberg	60302	Deutschlandsberg
60344	Deutschlandsberg	60306	Freiland bei Deutschlandsberg
60344	Deutschlandsberg	60307	Bad Gams
60344	Deutschlandsberg	60316	Kloster
60344	Deutschlandsberg	60321	Osterwitz
60344	Deutschlandsberg	60338	Trahütten
60345	Eibiswald	60301	Aibl
60345	Eibiswald	60303	Eibiswald
60345	Eibiswald	60313	Großradl
60345	Eibiswald	60322	Pitschgau
60345	Eibiswald	60328	Sankt Oswald ob Eibiswald
60345	Eibiswald	60332	Soboth
60346	Groß Sankt Florian	60312	Groß Sankt Florian
60346	Groß Sankt Florian	60339	Unterbergla
60347	Sankt Martin im Sulmtal	60327	Sankt Martin im Sulmtal
60347	Sankt Martin im Sulmtal	60336	Sulmeck-Greith
60348	Sankt Stefan ob Stainz	60310	Greisdorf
60348	Sankt Stefan ob Stainz	60314	Gundersdorf
60348	Sankt Stefan ob Stainz	60330	Sankt Stefan ob Stainz
60349	Schwanberg	60308	Garanas
60349	Schwanberg	60311	Gressenberg
60349	Schwanberg	60315	Hollenegg
60349	Schwanberg	60331	Schwanberg
60350	Stainz	60309	Georgsberg
60350	Stainz	60320	Marhof
60350	Stainz	60325	Rassach
60350	Stainz	60333	Stainz
60350	Stainz	60334	Stainztal
60350	Stainz	60335	Stallhof
60351	Wies	60319	Limberg bei Wies
60351	Wies	60340	Wernersdorf
60351	Wies	60342	Wielfresen
60351	Wies	60343	Wies
60608	Feldkirchen bei Graz	60608	Feldkirchen bei Graz
60611	Gössendorf	60611	Gössendorf
60613	Gratkorn	60613	Gratkorn
60617	Hart bei Graz	60617	Hart bei Graz
60618	Haselsdorf-Tobelbad	60618	Haselsdorf-Tobelbad
60619	Hausmannstätten	60619	Hausmannstätten
60623	Kainbach bei Graz	60623	Kainbach bei Graz
60624	Kalsdorf bei Graz	60624	Kalsdorf bei Graz
60626	Kumberg	60626	Kumberg
60628	Laßnitzhöhe	60628	Laßnitzhöhe
60629	Lieboch	60629	Lieboch
60632	Peggau	60632	Peggau
60639	Sankt Bartholomä	60639	Sankt Bartholomä
60641	Sankt Oswald bei Plankenwarth	60641	Sankt Oswald bei Plankenwarth
60642	Sankt Radegund bei Graz	60642	Sankt Radegund bei Graz
60645	Semriach	60645	Semriach
60646	Stattegg	60646	Stattegg
60647	Stiwoll	60647	Stiwoll
60648	Thal	60648	Thal
60651	Übelbach	60651	Übelbach
60653	Vasoldsberg	60653	Vasoldsberg
60654	Weinitzen	60654	Weinitzen
60655	Werndorf	60655	Werndorf
60656	Wundschuh	60656	Wundschuh
60659	Deutschfeistritz	60603	Deutschfeistritz
60659	Deutschfeistritz	60615	Großstübing
60660	Dobl-Zwaring	60604	Dobl
60660	Dobl-Zwaring	60658	Zwaring-Pöls
60661	Eggersdorf bei Graz	60602	Brodingberg
60661	Eggersdorf bei Graz	60606	Eggersdorf bei Graz
60661	Eggersdorf bei Graz	60621	Höf-Präbach
60661	Eggersdorf bei Graz	60634	Hart-Purgstall
60662	Fernitz-Mellach	60609	Fernitz
60662	Fernitz-Mellach	60630	Mellach
60663	Frohnleiten	60610	Frohnleiten
60663	Frohnleiten	60636	Röthelstein
60663	Frohnleiten	60643	Schrems bei Frohnleiten
60664	Gratwein-Straßengel	60607	Eisbach
60664	Gratwein-Straßengel	60614	Gratwein
60664	Gratwein-Straßengel	60616	Gschnaidt
60664	Gratwein-Straßengel	60622	Judendorf-Straßengel
60665	Hitzendorf	60601	Attendorf
60665	Hitzendorf	60620	Hitzendorf
60665	Hitzendorf	60637	Rohrbach-Steinberg
60666	Nestelbach bei Graz	60605	Edelsgrub
60666	Nestelbach bei Graz	60627	Langegg bei Graz
60666	Nestelbach bei Graz	60631	Nestelbach bei Graz
60667	Raaba-Grambach	60612	Grambach
60667	Raaba-Grambach	60635	Raaba
60668	Sankt Marein bei Graz	60625	Krumegg
60668	Sankt Marein bei Graz	60640	Sankt Marein bei Graz
60668	Sankt Marein bei Graz	62353	Petersdorf II
60669	Seiersberg-Pirka	60633	Pirka
60669	Seiersberg-Pirka	60644	Seiersberg
60670	Unterpremstätten-Zettling	60652	Unterpremstätten
60670	Unterpremstätten-Zettling	60657	Zettling
62202	Bad Blumau	62202	Bad Blumau
62205	Buch-Sankt Magdalena	62205	Buch-Sankt Magdalena
62206	Burgau	62206	Burgau
62209	Ebersdorf	62209	Ebersdorf
62211	Friedberg	62211	Friedberg
62214	Greinbach	62214	Greinbach
62216	Großsteinbach	62216	Großsteinbach
62219	Hartberg	62219	Hartberg
62220	Hartberg Umgebung	62220	Hartberg Umgebung
62226	Lafnitz	62226	Lafnitz
62232	Ottendorf an der Rittschein	62232	Ottendorf an der Rittschein
62233	Pinggau	62233	Pinggau
62235	Pöllauberg	62235	Pöllauberg
62242	Sankt Jakob im Walde	62242	Sankt Jakob im Walde
62244	Sankt Johann in der Haide	62244	Sankt Johann in der Haide
62245	Sankt Lorenzen am Wechsel	62245	Sankt Lorenzen am Wechsel
62247	Schäffern	62247	Schäffern
62252	Söchau	62252	Söchau
