code;name;FK;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GALTEJ112-1;0 Jahre;GALT5J100-1;under 1 year old;;;;;;
GALTEJ112-2;1 Jahr;GALT5J100-1;1 year old;;;;;;
GALTEJ112-3;2 Jahre;GALT5J100-1;2 years old;;;;;;
GALTEJ112-4;3 Jahre;GALT5J100-1;3 years old;;;;;;
GALTEJ112-5;4 Jahre;GALT5J100-1;4 years old;;;;;;
GALTEJ112-6;5 Jahre;GALT5J100-2;5 years old;;;;;;
GALTEJ112-7;6 Jahre;GALT5J100-2;6 years old;;;;;;
GALTEJ112-8;7 Jahre;GALT5J100-2;7 years old;;;;;;
GALTEJ112-9;8 Jahre;GALT5J100-2;8 years old;;;;;;
GALTEJ112-10;9 Jahre;GALT5J100-2;9 years old;;;;;;
GALTEJ112-11;10 Jahre;GALT5J100-3;10 years old;;;;;;
GALTEJ112-12;11 Jahre;GALT5J100-3;11 years old;;;;;;
GALTEJ112-13;12 Jahre;GALT5J100-3;12 years old;;;;;;
GALTEJ112-14;13 Jahre;GALT5J100-3;13 years old;;;;;;
GALTEJ112-15;14 Jahre;GALT5J100-3;14 years old;;;;;;
GALTEJ112-16;15 Jahre;GALT5J100-4;15 years old;;;;;;
GALTEJ112-17;16 Jahre;GALT5J100-4;16 years old;;;;;;
GALTEJ112-18;17 Jahre;GALT5J100-4;17 years old;;;;;;
GALTEJ112-19;18 Jahre;GALT5J100-4;18 years old;;;;;;
GALTEJ112-20;19 Jahre;GALT5J100-4;19 years old;;;;;;
GALTEJ112-21;20 Jahre;GALT5J100-5;20 years old;;;;;;
GALTEJ112-22;21 Jahre;GALT5J100-5;21 years old;;;;;;
GALTEJ112-23;22 Jahre;GALT5J100-5;22 years old;;;;;;
GALTEJ112-24;23 Jahre;GALT5J100-5;23 years old;;;;;;
GALTEJ112-25;24 Jahre;GALT5J100-5;24 years old;;;;;;
GALTEJ112-26;25 Jahre;GALT5J100-6;25 years old;;;;;;
GALTEJ112-27;26 Jahre;GALT5J100-6;26 years old;;;;;;
GALTEJ112-28;27 Jahre;GALT5J100-6;27 years old;;;;;;
GALTEJ112-29;28 Jahre;GALT5J100-6;28 years old;;;;;;
GALTEJ112-30;29 Jahre;GALT5J100-6;29 years old;;;;;;
GALTEJ112-31;30 Jahre;GALT5J100-7;30 years old;;;;;;
GALTEJ112-32;31 Jahre;GALT5J100-7;31 years old;;;;;;
GALTEJ112-33;32 Jahre;GALT5J100-7;32 years old;;;;;;
GALTEJ112-34;33 Jahre;GALT5J100-7;33 years old;;;;;;
GALTEJ112-35;34 Jahre;GALT5J100-7;34 years old;;;;;;
GALTEJ112-36;35 Jahre;GALT5J100-8;35 years old;;;;;;
GALTEJ112-37;36 Jahre;GALT5J100-8;36 years old;;;;;;
GALTEJ112-38;37 Jahre;GALT5J100-8;37 years old;;;;;;
GALTEJ112-39;38 Jahre;GALT5J100-8;38 years old;;;;;;
GALTEJ112-40;39 Jahre;GALT5J100-8;39 years old;;;;;;
GALTEJ112-41;40 Jahre;GALT5J100-9;40 years old;;;;;;
GALTEJ112-42;41 Jahre;GALT5J100-9;41 years old;;;;;;
GALTEJ112-43;42 Jahre;GALT5J100-9;42 years old;;;;;;
GALTEJ112-44;43 Jahre;GALT5J100-9;43 years old;;;;;;
GALTEJ112-45;44 Jahre;GALT5J100-9;44 years old;;;;;;
GALTEJ112-46;45 Jahre;GALT5J100-10;45 years old;;;;;;
GALTEJ112-47;46 Jahre;GALT5J100-10;46 years old;;;;;;
GALTEJ112-48;47 Jahre;GALT5J100-10;47 years old;;;;;;
GALTEJ112-49;48 Jahre;GALT5J100-10;48 years old;;;;;;
GALTEJ112-50;49 Jahre;GALT5J100-10;49 years old;;;;;;
GALTEJ112-51;50 Jahre;GALT5J100-11;50 years old;;;;;;
GALTEJ112-52;51 Jahre;GALT5J100-11;51 years old;;;;;;
GALTEJ112-53;52 Jahre;GALT5J100-11;52 years old;;;;;;
GALTEJ112-54;53 Jahre;GALT5J100-11;53 years old;;;;;;
GALTEJ112-55;54 Jahre;GALT5J100-11;54 years old;;;;;;
GALTEJ112-56;55 Jahre;GALT5J100-12;55 years old;;;;;;
GALTEJ112-57;56 Jahre;GALT5J100-12;56 years old;;;;;;
GALTEJ112-58;57 Jahre;GALT5J100-12;57 years old;;;;;;
GALTEJ112-59;58 Jahre;GALT5J100-12;58 years old;;;;;;
GALTEJ112-60;59 Jahre;GALT5J100-12;59 years old;;;;;;
GALTEJ112-61;60 Jahre;GALT5J100-13;60 years old;;;;;;
GALTEJ112-62;61 Jahre;GALT5J100-13;61 years old;;;;;;
GALTEJ112-63;62 Jahre;GALT5J100-13;62 years old;;;;;;
GALTEJ112-64;63 Jahre;GALT5J100-13;63 years old;;;;;;
GALTEJ112-65;64 Jahre;GALT5J100-13;64 years old;;;;;;
GALTEJ112-66;65 Jahre;GALT5J100-14;65 years old;;;;;;
GALTEJ112-67;66 Jahre;GALT5J100-14;66 years old;;;;;;
GALTEJ112-68;67 Jahre;GALT5J100-14;67 years old;;;;;;
GALTEJ112-69;68 Jahre;GALT5J100-14;68 years old;;;;;;
GALTEJ112-70;69 Jahre;GALT5J100-14;69 years old;;;;;;
GALTEJ112-71;70 Jahre;GALT5J100-15;70 years old;;;;;;
GALTEJ112-72;71 Jahre;GALT5J100-15;71 years old;;;;;;
GALTEJ112-73;72 Jahre;GALT5J100-15;72 years old;;;;;;
GALTEJ112-74;73 Jahre;GALT5J100-15;73 years old;;;;;;
GALTEJ112-75;74 Jahre;GALT5J100-15;74 years old;;;;;;
GALTEJ112-76;75 Jahre;GALT5J100-16;75 years old;;;;;;
GALTEJ112-77;76 Jahre;GALT5J100-16;76 years old;;;;;;
GALTEJ112-78;77 Jahre;GALT5J100-16;77 years old;;;;;;
GALTEJ112-79;78 Jahre;GALT5J100-16;78 years old;;;;;;
GALTEJ112-80;79 Jahre;GALT5J100-16;79 years old;;;;;;
GALTEJ112-81;80 Jahre;GALT5J100-17;80 years old;;;;;;
GALTEJ112-82;81 Jahre;GALT5J100-17;81 years old;;;;;;
GALTEJ112-83;82 Jahre;GALT5J100-17;82 years old;;;;;;
GALTEJ112-84;83 Jahre;GALT5J100-17;83 years old;;;;;;
GALTEJ112-85;84 Jahre;GALT5J100-17;84 years old;;;;;;
GALTEJ112-86;85 Jahre;GALT5J100-18;85 years old;;;;;;
GALTEJ112-87;86 Jahre;GALT5J100-18;86 years old;;;;;;
GALTEJ112-88;87 Jahre;GALT5J100-18;87 years old;;;;;;
GALTEJ112-89;88 Jahre;GALT5J100-18;88 years old;;;;;;
GALTEJ112-90;89 Jahre;GALT5J100-18;89 years old;;;;;;
GALTEJ112-91;90 Jahre;GALT5J100-19;90 years old;;;;;;
GALTEJ112-92;91 Jahre;GALT5J100-19;91 years old;;;;;;
GALTEJ112-93;92 Jahre;GALT5J100-19;92 years old;;;;;;
GALTEJ112-94;93 Jahre;GALT5J100-19;93 years old;;;;;;
GALTEJ112-95;94 Jahre;GALT5J100-19;94 years old;;;;;;
GALTEJ112-96;95 Jahre;GALT5J100-20;95 years old;;;;;;
GALTEJ112-97;96 Jahre;GALT5J100-20;96 years old;;;;;;
GALTEJ112-98;97 Jahre;GALT5J100-20;97 years old;;;;;;
GALTEJ112-99;98 Jahre;GALT5J100-20;98 years old;;;;;;
GALTEJ112-100;99 Jahre;GALT5J100-20;99 years old;;;;;;
GALT5J100-21;100 Jahre und älter;GALT15J75-6;100 plus years old;;;;;;
