code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GRGEMAKT-10101;Eisenstadt <10101>;;;;;;;;
GRGEMAKT-10201;Rust <10201>;;;;;;;;
GRGEMAKT-10301;Breitenbrunn am Neusiedler See <10301>;;;;;;;;
GRGEMAKT-10302;Donnerskirchen <10302>;;;;;;;;
GRGEMAKT-10303;Großhöflein <10303>;;;;;;;;
GRGEMAKT-10304;Hornstein <10304>;;;;;;;;
GRGEMAKT-10305;Klingenbach <10305>;;;;;;;;
GRGEMAKT-10306;Leithaprodersdorf <10306>;;;;;;;;
GRGEMAKT-10320;Loretto <10320>;;;;;;;;
GRGEMAKT-10307;Mörbisch am See <10307>;;;;;;;;
GRGEMAKT-10308;Müllendorf <10308>;;;;;;;;
GRGEMAKT-10309;Neufeld an der Leitha <10309>;;;;;;;;
GRGEMAKT-10310;Oggau am Neusiedler See <10310>;;;;;;;;
GRGEMAKT-10311;Oslip <10311>;;;;;;;;
GRGEMAKT-10312;Purbach am Neusiedler See <10312>;;;;;;;;
GRGEMAKT-10313;Sankt Margarethen im Burgenland <10313>;;;;;;;;
GRGEMAKT-10314;Schützen am Gebirge <10314>;;;;;;;;
GRGEMAKT-10315;Siegendorf <10315>;;;;;;;;
GRGEMAKT-10316;Steinbrunn <10316>;;;;;;;;
GRGEMAKT-10321;Stotzing <10321>;;;;;;;;
GRGEMAKT-10317;Trausdorf an der Wulka <10317>;;;;;;;;
GRGEMAKT-10318;Wimpassing an der Leitha <10318>;;;;;;;;
GRGEMAKT-10319;Wulkaprodersdorf <10319>;;;;;;;;
GRGEMAKT-10322;Zillingtal <10322>;;;;;;;;
GRGEMAKT-10323;Zagersdorf <10323>;;;;;;;;
GRGEMAKT-10426;Bildein <10426>;;;;;;;;
GRGEMAKT-10401;Bocksdorf <10401>;;;;;;;;
GRGEMAKT-10402;Burgauberg-Neudauberg <10402>;;;;;;;;
GRGEMAKT-10403;Eberau <10403>;;;;;;;;
GRGEMAKT-10404;Gerersdorf-Sulz <10404>;;;;;;;;
GRGEMAKT-10420;Großmürbisch <10420>;;;;;;;;
GRGEMAKT-10405;Güssing <10405>;;;;;;;;
GRGEMAKT-10406;Güttenbach <10406>;;;;;;;;
GRGEMAKT-10418;Hackerberg <10418>;;;;;;;;
GRGEMAKT-10407;Heiligenbrunn <10407>;;;;;;;;
GRGEMAKT-10424;Heugraben <10424>;;;;;;;;
GRGEMAKT-10421;Inzenhof <10421>;;;;;;;;
GRGEMAKT-10422;Kleinmürbisch <10422>;;;;;;;;
GRGEMAKT-10408;Kukmirn <10408>;;;;;;;;
GRGEMAKT-10428;Moschendorf <10428>;;;;;;;;
GRGEMAKT-10409;Neuberg im Burgenland <10409>;;;;;;;;
GRGEMAKT-10410;Neustift bei Güssing <10410>;;;;;;;;
GRGEMAKT-10411;Olbendorf <10411>;;;;;;;;
GRGEMAKT-10412;Ollersdorf im Burgenland <10412>;;;;;;;;
GRGEMAKT-10427;Rauchwart <10427>;;;;;;;;
GRGEMAKT-10425;Rohr im Burgenland <10425>;;;;;;;;
GRGEMAKT-10413;Sankt Michael im Burgenland <10413>;;;;;;;;
GRGEMAKT-10414;Stegersbach <10414>;;;;;;;;
GRGEMAKT-10415;Stinatz <10415>;;;;;;;;
GRGEMAKT-10416;Strem <10416>;;;;;;;;
GRGEMAKT-10417;Tobaj <10417>;;;;;;;;
GRGEMAKT-10423;Tschanigraben <10423>;;;;;;;;
GRGEMAKT-10419;Wörterberg <10419>;;;;;;;;
GRGEMAKT-10501;Deutsch Kaltenbrunn <10501>;;;;;;;;
GRGEMAKT-10502;Eltendorf <10502>;;;;;;;;
GRGEMAKT-10503;Heiligenkreuz im Lafnitztal <10503>;;;;;;;;
GRGEMAKT-10504;Jennersdorf <10504>;;;;;;;;
GRGEMAKT-10511;Königsdorf <10511>;;;;;;;;
GRGEMAKT-10505;Minihof-Liebau <10505>;;;;;;;;
GRGEMAKT-10506;Mogersdorf <10506>;;;;;;;;
GRGEMAKT-10512;Mühlgraben <10512>;;;;;;;;
GRGEMAKT-10507;Neuhaus am Klausenbach <10507>;;;;;;;;
GRGEMAKT-10508;Rudersdorf <10508>;;;;;;;;
GRGEMAKT-10509;Sankt Martin an der Raab <10509>;;;;;;;;
GRGEMAKT-10510;Weichselbaum <10510>;;;;;;;;
GRGEMAKT-10616;Antau <10616>;;;;;;;;
GRGEMAKT-10611;Bad Sauerbrunn <10611>;;;;;;;;
GRGEMAKT-10617;Baumgarten <10617>;;;;;;;;
GRGEMAKT-10601;Draßburg <10601>;;;;;;;;
GRGEMAKT-10602;Forchtenstein <10602>;;;;;;;;
GRGEMAKT-10603;Hirm <10603>;;;;;;;;
GRGEMAKT-10619;Krensdorf <10619>;;;;;;;;
GRGEMAKT-10604;Loipersbach im Burgenland <10604>;;;;;;;;
GRGEMAKT-10605;Marz <10605>;;;;;;;;
GRGEMAKT-10606;Mattersburg <10606>;;;;;;;;
GRGEMAKT-10607;Neudörfl <10607>;;;;;;;;
GRGEMAKT-10608;Pöttelsdorf <10608>;;;;;;;;
GRGEMAKT-10609;Pöttsching <10609>;;;;;;;;
GRGEMAKT-10610;Rohrbach bei Mattersburg <10610>;;;;;;;;
GRGEMAKT-10612;Schattendorf <10612>;;;;;;;;
GRGEMAKT-10613;Sieggraben <10613>;;;;;;;;
GRGEMAKT-10614;Sigleß <10614>;;;;;;;;
GRGEMAKT-10615;Wiesen <10615>;;;;;;;;
GRGEMAKT-10618;Zemendorf-Stöttera <10618>;;;;;;;;
GRGEMAKT-10701;Andau <10701>;;;;;;;;
GRGEMAKT-10702;Apetlon <10702>;;;;;;;;
GRGEMAKT-10703;Bruckneudorf <10703>;;;;;;;;
GRGEMAKT-10704;Deutsch Jahrndorf <10704>;;;;;;;;
GRGEMAKT-10727;Edelstal <10727>;;;;;;;;
GRGEMAKT-10705;Frauenkirchen <10705>;;;;;;;;
GRGEMAKT-10706;Gattendorf <10706>;;;;;;;;
GRGEMAKT-10707;Gols <10707>;;;;;;;;
GRGEMAKT-10708;Halbturn <10708>;;;;;;;;
GRGEMAKT-10709;Illmitz <10709>;;;;;;;;
GRGEMAKT-10710;Jois <10710>;;;;;;;;
GRGEMAKT-10711;Kittsee <10711>;;;;;;;;
GRGEMAKT-10712;Mönchhof <10712>;;;;;;;;
GRGEMAKT-10725;Neudorf <10725>;;;;;;;;
GRGEMAKT-10713;Neusiedl am See <10713>;;;;;;;;
GRGEMAKT-10714;Nickelsdorf <10714>;;;;;;;;
GRGEMAKT-10715;Pama <10715>;;;;;;;;
GRGEMAKT-10716;Pamhagen <10716>;;;;;;;;
GRGEMAKT-10717;Parndorf <10717>;;;;;;;;
GRGEMAKT-10718;Podersdorf am See <10718>;;;;;;;;
GRGEMAKT-10726;Potzneusiedl <10726>;;;;;;;;
GRGEMAKT-10719;Sankt Andrä am Zicksee <10719>;;;;;;;;
GRGEMAKT-10720;Tadten <10720>;;;;;;;;
GRGEMAKT-10721;Wallern im Burgenland <10721>;;;;;;;;
GRGEMAKT-10722;Weiden am See <10722>;;;;;;;;
GRGEMAKT-10723;Winden am See <10723>;;;;;;;;
GRGEMAKT-10724;Zurndorf <10724>;;;;;;;;
GRGEMAKT-10801;Deutschkreutz <10801>;;;;;;;;
GRGEMAKT-10802;Draßmarkt <10802>;;;;;;;;
GRGEMAKT-10803;Frankenau-Unterpullendorf <10803>;;;;;;;;
GRGEMAKT-10804;Großwarasdorf <10804>;;;;;;;;
GRGEMAKT-10805;Horitschon <10805>;;;;;;;;
GRGEMAKT-10806;Kaisersdorf <10806>;;;;;;;;
GRGEMAKT-10807;Kobersdorf <10807>;;;;;;;;
GRGEMAKT-10808;Lackenbach <10808>;;;;;;;;
GRGEMAKT-10824;Lackendorf <10824>;;;;;;;;
GRGEMAKT-10809;Lockenhaus <10809>;;;;;;;;
GRGEMAKT-10810;Lutzmannsburg <10810>;;;;;;;;
GRGEMAKT-10811;Mannersdorf an der Rabnitz <10811>;;;;;;;;
GRGEMAKT-10812;Markt Sankt Martin <10812>;;;;;;;;
GRGEMAKT-10813;Neckenmarkt <10813>;;;;;;;;
GRGEMAKT-10814;Neutal <10814>;;;;;;;;
GRGEMAKT-10815;Nikitsch <10815>;;;;;;;;
GRGEMAKT-10828;Oberloisdorf <10828>;;;;;;;;
GRGEMAKT-10816;Oberpullendorf <10816>;;;;;;;;
GRGEMAKT-10817;Pilgersdorf <10817>;;;;;;;;
GRGEMAKT-10818;Piringsdorf <10818>;;;;;;;;
GRGEMAKT-10819;Raiding <10819>;;;;;;;;
GRGEMAKT-10820;Ritzing <10820>;;;;;;;;
GRGEMAKT-10821;Steinberg-Dörfl <10821>;;;;;;;;
GRGEMAKT-10822;Stoob <10822>;;;;;;;;
GRGEMAKT-10825;Unterfrauenhaid <10825>;;;;;;;;
GRGEMAKT-10826;Unterrabnitz-Schwendgraben <10826>;;;;;;;;
GRGEMAKT-10827;Weingraben <10827>;;;;;;;;
GRGEMAKT-10823;Weppersdorf <10823>;;;;;;;;
GRGEMAKT-10901;Bad Tatzmannsdorf <10901>;;;;;;;;
GRGEMAKT-10931;Badersdorf <10931>;;;;;;;;
GRGEMAKT-10902;Bernstein <10902>;;;;;;;;
GRGEMAKT-10903;Deutsch Schützen-Eisenberg <10903>;;;;;;;;
GRGEMAKT-10904;Grafenschachen <10904>;;;;;;;;
GRGEMAKT-10905;Großpetersdorf <10905>;;;;;;;;
GRGEMAKT-10906;Hannersdorf <10906>;;;;;;;;
GRGEMAKT-10930;Jabing <10930>;;;;;;;;
GRGEMAKT-10907;Kemeten <10907>;;;;;;;;
GRGEMAKT-10908;Kohfidisch <10908>;;;;;;;;
GRGEMAKT-10909;Litzelsdorf <10909>;;;;;;;;
GRGEMAKT-10910;Loipersdorf-Kitzladen <10910>;;;;;;;;
GRGEMAKT-10911;Mariasdorf <10911>;;;;;;;;
GRGEMAKT-10912;Markt Allhau <10912>;;;;;;;;
GRGEMAKT-10913;Markt Neuhodis <10913>;;;;;;;;
GRGEMAKT-10914;Mischendorf <10914>;;;;;;;;
GRGEMAKT-10929;Neustift an der Lafnitz <10929>;;;;;;;;
GRGEMAKT-10915;Oberdorf im Burgenland <10915>;;;;;;;;
GRGEMAKT-10916;Oberschützen <10916>;;;;;;;;
GRGEMAKT-10917;Oberwart <10917>;;;;;;;;
GRGEMAKT-10918;Pinkafeld <10918>;;;;;;;;
GRGEMAKT-10919;Rechnitz <10919>;;;;;;;;
GRGEMAKT-10920;Riedlingsdorf <10920>;;;;;;;;
GRGEMAKT-10921;Rotenturm an der Pinka <10921>;;;;;;;;
GRGEMAKT-10922;Schachendorf <10922>;;;;;;;;
GRGEMAKT-10932;Schandorf <10932>;;;;;;;;
GRGEMAKT-10923;Stadtschlaining <10923>;;;;;;;;
GRGEMAKT-10924;Unterkohlstätten <10924>;;;;;;;;
GRGEMAKT-10925;Unterwart <10925>;;;;;;;;
GRGEMAKT-10926;Weiden bei Rechnitz <10926>;;;;;;;;
GRGEMAKT-10927;Wiesfleck <10927>;;;;;;;;
GRGEMAKT-10928;Wolfau <10928>;;;;;;;;
GRGEMAKT-20101;Klagenfurt am Wörthersee <20101>;;;;;;;;
GRGEMAKT-20201;Villach <20201>;;;;;;;;
GRGEMAKT-20302;Dellach <20302>;;;;;;;;
GRGEMAKT-20320;Gitschtal <20320>;;;;;;;;
GRGEMAKT-20305;Hermagor-Pressegger See <20305>;;;;;;;;
GRGEMAKT-20306;Kirchbach <20306>;;;;;;;;
GRGEMAKT-20307;Kötschach-Mauthen <20307>;;;;;;;;
GRGEMAKT-20321;Lesachtal <20321>;;;;;;;;
GRGEMAKT-20316;Sankt Stefan im Gailtal <20316>;;;;;;;;
GRGEMAKT-20402;Ebenthal in Kärnten <20402>;;;;;;;;
GRGEMAKT-20403;Feistritz im Rosental <20403>;;;;;;;;
GRGEMAKT-20405;Ferlach <20405>;;;;;;;;
GRGEMAKT-20409;Grafenstein <20409>;;;;;;;;
GRGEMAKT-20412;Keutschach am See <20412>;;;;;;;;
GRGEMAKT-20414;Köttmannsdorf <20414>;;;;;;;;
GRGEMAKT-20415;Krumpendorf am Wörther See <20415>;;;;;;;;
GRGEMAKT-20416;Ludmannsdorf <20416>;;;;;;;;
GRGEMAKT-20442;Magdalensberg <20442>;;;;;;;;
GRGEMAKT-20417;Maria Rain <20417>;;;;;;;;
GRGEMAKT-20418;Maria Saal <20418>;;;;;;;;
GRGEMAKT-20419;Maria Wörth <20419>;;;;;;;;
GRGEMAKT-20421;Moosburg <20421>;;;;;;;;
GRGEMAKT-20425;Poggersdorf <20425>;;;;;;;;
GRGEMAKT-20424;Pörtschach am Wörther See <20424>;;;;;;;;
GRGEMAKT-20428;Sankt Margareten im Rosental <20428>;;;;;;;;
GRGEMAKT-20432;Schiefling am Wörthersee <20432>;;;;;;;;
GRGEMAKT-20435;Techelsberg am Wörther See <20435>;;;;;;;;
GRGEMAKT-20441;Zell <20441>;;;;;;;;
GRGEMAKT-20501;Althofen <20501>;;;;;;;;
GRGEMAKT-20502;Brückl <20502>;;;;;;;;
GRGEMAKT-20503;Deutsch-Griffen <20503>;;;;;;;;
GRGEMAKT-20504;Eberstein <20504>;;;;;;;;
GRGEMAKT-20505;Friesach <20505>;;;;;;;;
GRGEMAKT-20506;Glödnitz <20506>;;;;;;;;
GRGEMAKT-20508;Gurk <20508>;;;;;;;;
GRGEMAKT-20509;Guttaring <20509>;;;;;;;;
GRGEMAKT-20511;Hüttenberg <20511>;;;;;;;;
GRGEMAKT-20512;Kappel am Krappfeld <20512>;;;;;;;;
GRGEMAKT-20513;Klein Sankt Paul <20513>;;;;;;;;
GRGEMAKT-20515;Liebenfels <20515>;;;;;;;;
GRGEMAKT-20518;Metnitz <20518>;;;;;;;;
GRGEMAKT-20519;Micheldorf <20519>;;;;;;;;
GRGEMAKT-20520;Mölbling <20520>;;;;;;;;
GRGEMAKT-20523;Sankt Georgen am Längsee <20523>;;;;;;;;
GRGEMAKT-20527;Sankt Veit an der Glan <20527>;;;;;;;;
GRGEMAKT-20530;Straßburg <20530>;;;;;;;;
GRGEMAKT-20531;Weitensfeld im Gurktal <20531>;;;;;;;;
GRGEMAKT-20534;Frauenstein <20534>;;;;;;;;
GRGEMAKT-20601;Bad Kleinkirchheim <20601>;;;;;;;;
GRGEMAKT-20602;Baldramsdorf <20602>;;;;;;;;
GRGEMAKT-20603;Berg im Drautal <20603>;;;;;;;;
GRGEMAKT-20604;Dellach im Drautal <20604>;;;;;;;;
GRGEMAKT-20607;Flattach <20607>;;;;;;;;
GRGEMAKT-20608;Gmünd in Kärnten <20608>;;;;;;;;
GRGEMAKT-20609;Greifenburg <20609>;;;;;;;;
GRGEMAKT-20605;Großkirchheim <20605>;;;;;;;;
GRGEMAKT-20610;Heiligenblut am Großglockner <20610>;;;;;;;;
GRGEMAKT-20611;Irschen <20611>;;;;;;;;
GRGEMAKT-20613;Kleblach-Lind <20613>;;;;;;;;
GRGEMAKT-20642;Krems in Kärnten <20642>;;;;;;;;
GRGEMAKT-20616;Lendorf <20616>;;;;;;;;
GRGEMAKT-20643;Lurnfeld <20643>;;;;;;;;
GRGEMAKT-20618;Mallnitz <20618>;;;;;;;;
GRGEMAKT-20619;Malta <20619>;;;;;;;;
GRGEMAKT-20620;Millstatt <20620>;;;;;;;;
GRGEMAKT-20622;Mörtschach <20622>;;;;;;;;
GRGEMAKT-20624;Mühldorf <20624>;;;;;;;;
GRGEMAKT-20625;Oberdrauburg <20625>;;;;;;;;
GRGEMAKT-20627;Obervellach <20627>;;;;;;;;
GRGEMAKT-20630;Radenthein <20630>;;;;;;;;
GRGEMAKT-20631;Rangersdorf <20631>;;;;;;;;
GRGEMAKT-20644;Reißeck <20644>;;;;;;;;
GRGEMAKT-20632;Rennweg am Katschberg <20632>;;;;;;;;
GRGEMAKT-20633;Sachsenburg <20633>;;;;;;;;
GRGEMAKT-20634;Seeboden am Millstätter See <20634>;;;;;;;;
GRGEMAKT-20635;Spittal an der Drau <20635>;;;;;;;;
GRGEMAKT-20636;Stall <20636>;;;;;;;;
GRGEMAKT-20637;Steinfeld <20637>;;;;;;;;
GRGEMAKT-20638;Trebesing <20638>;;;;;;;;
GRGEMAKT-20639;Weißensee <20639>;;;;;;;;
GRGEMAKT-20640;Winklern <20640>;;;;;;;;
GRGEMAKT-20701;Afritz am See <20701>;;;;;;;;
GRGEMAKT-20702;Arnoldstein <20702>;;;;;;;;
GRGEMAKT-20703;Arriach <20703>;;;;;;;;
GRGEMAKT-20705;Bad Bleiberg <20705>;;;;;;;;
GRGEMAKT-20707;Feistritz an der Gail <20707>;;;;;;;;
GRGEMAKT-20708;Feld am See <20708>;;;;;;;;
GRGEMAKT-20710;Ferndorf <20710>;;;;;;;;
GRGEMAKT-20711;Finkenstein am Faaker See <20711>;;;;;;;;
GRGEMAKT-20712;Fresach <20712>;;;;;;;;
GRGEMAKT-20713;Hohenthurn <20713>;;;;;;;;
GRGEMAKT-20719;Nötsch im Gailtal <20719>;;;;;;;;
GRGEMAKT-20720;Paternion <20720>;;;;;;;;
GRGEMAKT-20721;Rosegg <20721>;;;;;;;;
GRGEMAKT-20722;Sankt Jakob im Rosental <20722>;;;;;;;;
GRGEMAKT-20723;Stockenboi <20723>;;;;;;;;
GRGEMAKT-20724;Treffen am Ossiacher See <20724>;;;;;;;;
GRGEMAKT-20725;Velden am Wörther See <20725>;;;;;;;;
GRGEMAKT-20726;Weißenstein <20726>;;;;;;;;
GRGEMAKT-20727;Wernberg <20727>;;;;;;;;
GRGEMAKT-20801;Bleiburg <20801>;;;;;;;;
GRGEMAKT-20802;Diex <20802>;;;;;;;;
GRGEMAKT-20803;Eberndorf <20803>;;;;;;;;
GRGEMAKT-20804;Eisenkappel-Vellach <20804>;;;;;;;;
GRGEMAKT-20805;Feistritz ob Bleiburg <20805>;;;;;;;;
GRGEMAKT-20806;Gallizien <20806>;;;;;;;;
GRGEMAKT-20807;Globasnitz <20807>;;;;;;;;
GRGEMAKT-20808;Griffen <20808>;;;;;;;;
GRGEMAKT-20810;Neuhaus <20810>;;;;;;;;
GRGEMAKT-20812;Ruden <20812>;;;;;;;;
GRGEMAKT-20813;Sankt Kanzian am Klopeiner See <20813>;;;;;;;;
GRGEMAKT-20815;Sittersdorf <20815>;;;;;;;;
GRGEMAKT-20817;Völkermarkt <20817>;;;;;;;;
GRGEMAKT-20901;Bad Sankt Leonhard im Lavanttal <20901>;;;;;;;;
GRGEMAKT-20905;Frantschach-Sankt Gertraud <20905>;;;;;;;;
GRGEMAKT-20909;Lavamünd <20909>;;;;;;;;
GRGEMAKT-20911;Preitenegg <20911>;;;;;;;;
GRGEMAKT-20912;Reichenfels <20912>;;;;;;;;
GRGEMAKT-20913;Sankt Andrä <20913>;;;;;;;;
GRGEMAKT-20914;Sankt Georgen im Lavanttal <20914>;;;;;;;;
GRGEMAKT-20918;Sankt Paul im Lavanttal <20918>;;;;;;;;
GRGEMAKT-20923;Wolfsberg <20923>;;;;;;;;
GRGEMAKT-21001;Albeck <21001>;;;;;;;;
GRGEMAKT-21002;Feldkirchen in Kärnten <21002>;;;;;;;;
GRGEMAKT-21003;Glanegg <21003>;;;;;;;;
GRGEMAKT-21004;Gnesau <21004>;;;;;;;;
GRGEMAKT-21005;Himmelberg <21005>;;;;;;;;
GRGEMAKT-21006;Ossiach <21006>;;;;;;;;
GRGEMAKT-21007;Reichenau <21007>;;;;;;;;
GRGEMAKT-21008;Sankt Urban <21008>;;;;;;;;
GRGEMAKT-21009;Steindorf am Ossiacher See <21009>;;;;;;;;
GRGEMAKT-21010;Steuerberg <21010>;;;;;;;;
GRGEMAKT-30101;Krems an der Donau <30101>;;;;;;;;
GRGEMAKT-30201;Sankt Pölten <30201>;;;;;;;;
GRGEMAKT-30301;Waidhofen an der Ybbs <30301>;;;;;;;;
GRGEMAKT-30401;Wiener Neustadt <30401>;;;;;;;;
GRGEMAKT-30501;Allhartsberg <30501>;;;;;;;;
GRGEMAKT-30502;Amstetten <30502>;;;;;;;;
GRGEMAKT-30503;Ardagger <30503>;;;;;;;;
GRGEMAKT-30504;Aschbach-Markt <30504>;;;;;;;;
GRGEMAKT-30506;Behamberg <30506>;;;;;;;;
GRGEMAKT-30507;Biberbach <30507>;;;;;;;;
GRGEMAKT-30508;Ennsdorf <30508>;;;;;;;;
GRGEMAKT-30509;Ernsthofen <30509>;;;;;;;;
GRGEMAKT-30510;Ertl <30510>;;;;;;;;
GRGEMAKT-30511;Euratsfeld <30511>;;;;;;;;
GRGEMAKT-30512;Ferschnitz <30512>;;;;;;;;
GRGEMAKT-30514;Haag <30514>;;;;;;;;
GRGEMAKT-30515;Haidershofen <30515>;;;;;;;;
GRGEMAKT-30516;Hollenstein an der Ybbs <30516>;;;;;;;;
GRGEMAKT-30517;Kematen an der Ybbs <30517>;;;;;;;;
GRGEMAKT-30520;Neuhofen an der Ybbs <30520>;;;;;;;;
