type	id	group_id	name	state	lat	lon	altitude	valid_from	valid_to	has_sunshine	has_global_radiation	is_active
INDIVIDUAL	11190		EISENSTADT	Burgenland	47.854167	16.538333	184.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11192		KLEINZICKEN	Burgenland	47.2075	16.335556	265.0	1978-05-01	2100-01-01	False	False	True
INDIVIDUAL	11194		NEUSIEDL AM SEE	Burgenland	47.950833	16.841667	148.0	1984-12-05	2100-01-01	False	False	True
INDIVIDUAL	11393		LUTZMANNSBURG	Burgenland	47.465278	16.645556	201.0	1995-10-03	2100-01-01	False	False	True
INDIVIDUAL	11395		ANDAU	Burgenland	47.77	17.035556	117.0	1995-08-02	2100-01-01	False	False	True
INDIVIDUAL	11206		DOELLACH	Kärnten	46.958056	12.9025	1071.0	2004-05-17	2100-01-01	False	False	True
INDIVIDUAL	11213		VILLACH	Kärnten	46.618056	13.873889	493.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11214		PREITENEGG	Kärnten	46.938056	14.915	1034.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11215		MILLSTATT	Kärnten	46.808056	13.572778	721.0	2003-11-10	2100-01-01	False	False	True
INDIVIDUAL	11225		WEITENSFELD	Kärnten	46.849167	14.190833	704.0	2007-07-19	2100-01-01	False	False	True
INDIVIDUAL	11227		FELDKIRCHEN	Kärnten	46.721944	14.096944	546.0	1995-05-04	2100-01-01	False	False	True
INDIVIDUAL	11229		ST.ANDRAE I.L.	Kärnten	46.764167	14.828056	403.0	1976-11-15	2100-01-01	False	False	True
INDIVIDUAL	11231		KLAGENFURT-FLUGHAFEN	Kärnten	46.642778	14.337222	448.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11232		FEISTRITZ OB BLEIBURG	Kärnten	46.558889	14.766667	532.0	2004-08-01	2100-01-01	False	False	True
INDIVIDUAL	11234		BAD EISENKAPPEL	Kärnten	46.490556	14.593333	623.0	1992-08-29	2100-01-01	False	False	True
INDIVIDUAL	11255		KOETSCHACH-MAUTHEN	Kärnten	46.676389	12.998333	705.0	1990-09-10	2100-01-01	False	False	True
INDIVIDUAL	11260		MALLNITZ-BAD	Kärnten	46.991944	13.166667	1197.0	1990-06-23	2100-01-01	False	False	True
INDIVIDUAL	11261		OBERVELLACH	Kärnten	46.928889	13.223333	809.0	1991-02-14	2015-01-31	False	False	False
INDIVIDUAL	11265		VILLACHER ALPE - AUTOM.	Kärnten	46.603611	13.672778	2117.0	1997-08-31	2100-01-01	False	False	True
INDIVIDUAL	11272		SPITTAL/DRAU	Kärnten	46.790556	13.487222	542.0	1997-09-01	2100-01-01	False	False	True
INDIVIDUAL	11275		ARRIACH	Kärnten	46.727778	13.8525	890.0	2003-11-10	2100-01-01	False	False	True
INDIVIDUAL	11278		POERTSCHACH	Kärnten	46.630833	14.165278	450.0	1996-12-09	2100-01-01	False	False	True
INDIVIDUAL	11349		KATSCHBERG	Kärnten	47.060556	13.614722	1635.0	1998-10-29	2100-01-01	False	False	True
INDIVIDUAL	11018		AMSTETTEN	Niederösterreich	48.108889	14.895	266.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11019		ALLENTSTEIG	Niederösterreich	48.690833	15.366944	599.0	1988-05-30	2100-01-01	False	False	True
INDIVIDUAL	11020		STIFT ZWETTL	Niederösterreich	48.617778	15.203611	502.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11021		LITSCHAU	Niederösterreich	48.954722	15.038333	558.0	1976-04-01	2100-01-01	False	False	True
INDIVIDUAL	11022		RETZ	Niederösterreich	48.761111	15.941667	320.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11023		GARS AM KAMP	Niederösterreich	48.595556	15.667778	267.0	2002-03-24	2016-05-18	False	False	False
INDIVIDUAL	11024		JAUERLING	Niederösterreich	48.334444	15.339167	955.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11025		WEITRA	Niederösterreich	48.702222	14.898611	572.0	2003-08-21	2100-01-01	False	False	True
INDIVIDUAL	11027		STOCKERAU	Niederösterreich	48.396944	16.1925	203.0	2002-04-10	2100-01-01	False	False	True
INDIVIDUAL	11030		TULLN/LANGENLEBARN	Niederösterreich	48.323889	16.118056	175.0	1972-01-03	2100-01-01	False	False	True
INDIVIDUAL	11031		KOHLREITHBERG	Niederösterreich	48.175833	15.935278	490.0	2002-06-10	2010-06-22	False	False	False
INDIVIDUAL	11032		POYSDORF	Niederösterreich	48.669167	16.6375	198.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11036		WIEN/SCHWECHAT-FLUGHAFEN	Niederösterreich	48.1175	16.581389	183.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11037		GROSSENZERSDORF	Niederösterreich	48.199722	16.559167	154.0	1994-01-12	2100-01-01	False	False	True
INDIVIDUAL	11070		KREMS	Niederösterreich	48.418611	15.622222	202.0	1996-05-07	2100-01-01	False	False	True
INDIVIDUAL	11075		LANGENLOIS	Niederösterreich	48.4725	15.697222	207.0	1990-07-04	2100-01-01	False	False	True
INDIVIDUAL	11078		LILIENFELD/TARSCHBERG	Niederösterreich	48.028056	15.5875	696.0	1993-04-15	2100-01-01	False	False	True
INDIVIDUAL	11081		BADEN	Niederösterreich	48.011389	16.235556	245.0	1991-01-28	2013-08-01	False	False	False
INDIVIDUAL	11082		GUMPOLDSKIRCHEN	Niederösterreich	48.035833	16.280833	212.0	1991-11-07	2100-01-01	False	False	True
INDIVIDUAL	11083		LEISER BERGE	Niederösterreich	48.558889	16.371667	457.0	1999-09-27	2100-01-01	False	False	True
INDIVIDUAL	11085		ZWERNDORF-MARCHEGG	Niederösterreich	48.338056	16.831389	144.0	1997-03-20	2100-01-01	False	False	True
INDIVIDUAL	11170		LUNZ	Niederösterreich	47.854444	15.0675	612.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11180		RAX/SEILBAHN-BERGSTAT	Niederösterreich	47.7175	15.778611	1547.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11182		WIENER NEUSTADT	Niederösterreich	47.832222	16.231389	275.0	1972-01-03	2100-01-01	False	False	True
INDIVIDUAL	11185		MOENICHKIRCHEN	Niederösterreich	47.511111	16.033333	991.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11332		MISTELBACH	Niederösterreich	48.570833	16.609444	191.0	2004-06-15	2100-01-01	False	False	True
INDIVIDUAL	11367		BAERNKOPF	Niederösterreich	48.391111	15.002778	969.0	2003-11-10	2100-01-01	False	False	True
INDIVIDUAL	11368		WAIDHOFEN/YBBS	Niederösterreich	47.957778	14.784444	365.0	2001-01-24	2019-06-21	False	False	False
INDIVIDUAL	11378		GUTENSTEIN-MARIAHILFBERG	Niederösterreich	47.871389	15.876111	709.0	1996-09-04	2100-01-01	False	False	True
INDIVIDUAL	11380		REICHENAU/RAX	Niederösterreich	47.699722	15.836944	488.0	1991-01-28	2100-01-01	False	False	True
INDIVIDUAL	11382		PUCHBERG	Niederösterreich	47.790278	15.906944	583.0	1991-03-07	2100-01-01	False	False	True
INDIVIDUAL	11383		SEMMERING/PASS	Niederösterreich	47.633333	15.828333	988.0	1991-01-28	2100-01-01	False	False	True
INDIVIDUAL	11384		HIRSCHENKOGEL	Niederösterreich	47.623333	15.833333	1318.0	1994-06-13	2100-01-01	False	False	True
INDIVIDUAL	11385		HOHE WAND/HOCHKOGELHAUS	Niederösterreich	47.822222	16.035	937.0	1993-05-14	2100-01-01	False	False	True
INDIVIDUAL	11387		SEIBERSDORF	Niederösterreich	47.976389	16.505	185.0	2002-12-09	2100-01-01	False	False	True
INDIVIDUAL	11389		ST.POELTEN LANDHAUS	Niederösterreich	48.199722	15.631111	274.0	2003-07-04	2100-01-01	False	False	True
INDIVIDUAL	11001		WOLFSEGG	Oberösterreich	48.105556	13.670833	635.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11008		ROHRBACH	Oberösterreich	48.567222	14.004444	613.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11010		LINZ/HOERSCHING-FLUGHAFEN	Oberösterreich	48.235278	14.188056	298.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11012		KREMSMUENSTER	Oberösterreich	48.055	14.131111	382.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11015		FREISTADT	Oberösterreich	48.506111	14.506111	549.0	1972-01-01	2014-08-04	False	False	False
INDIVIDUAL	11051		BRAUNAU/RANSHOFEN	Oberösterreich	48.224167	13.028333	382.0	1992-11-09	2100-01-01	False	False	True
INDIVIDUAL	11053		RIED IM INNKREIS	Oberösterreich	48.217222	13.475	427.0	1997-06-16	2100-01-01	False	False	True
INDIVIDUAL	11055		SCHAERDING	Oberösterreich	48.464167	13.434444	307.0	1994-02-17	2100-01-01	False	False	True
INDIVIDUAL	11059		WELS/SCHLEISSHEIM	Oberösterreich	48.162778	14.071389	309.0	1992-08-29	2100-01-01	False	False	True
INDIVIDUAL	11060		LINZ-STADT	Oberösterreich	48.296389	14.285556	262.0	1992-11-18	2100-01-01	False	False	True
INDIVIDUAL	11153		MONDSEE	Oberösterreich	47.850833	13.347222	481.0	2008-07-15	2100-01-01	False	False	True
INDIVIDUAL	11154		GMUNDEN	Oberösterreich	47.914722	13.8075	424.0	1972-01-01	2016-04-26	False	False	False
INDIVIDUAL	11155		FEUERKOGEL	Oberösterreich	47.816667	13.717778	1618.0	1972-01-01	2100-01-01	False	False	True
INDIVIDUAL	11354		BAD GOISERN	Oberösterreich	47.6425	13.618056	502.0	1995-02-21	2016-04-26	False	False	False
INDIVIDUAL	11355		WINDISCHGARSTEN	Oberösterreich	47.720278	14.326111	600.0	1990-04-01	2100-01-01	False	False	True
